"Protein","Entry_Num","Probability","Coverage","Independent_Spectra","Percent_Spectrum_ID","Protein_Group","Ratio_130.129_Rep1","Ratio_131.129_Rep1","Ratio_130.129Rep_2","Ratio_131.129Rep_2","Description","Gene_Name"
"sp|O00429-2|DNM1L_HUMAN","404a",1,10.4,15,0.017,"404",0.62,0.18,0.448,0.394,"Isoform 4 of Dynamin-1-like protein ","DNM1L"
"sp|O00442-2|RTCA_HUMAN","7",1,8.2,21,0.022,"7",0.21,0.19,0.286666666666667,0.193333333333333,"Isoform 2 of RNA 3'-terminal phosphate cyclase ","RTCA"
"sp|O00468-2|AGRIN_HUMAN","405a",1,4.6,30,0.033,"405",1.135,0.643333333333333,1.2125,0.1875,"Isoform 2 of Agrin ","AGRN"
"sp|O00469-2|PLOD2_HUMAN","406a",1,10,32,0.034,"406",0.514285714285714,0.16,0.525555555555556,0.381111111111111,"Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 ","PLOD2"
"sp|O00483|NDUA4_HUMAN","2176",0.9839,8.6,8,0.009,"2176",0.385,0.315,0.35,0.25,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 ","NDUFA4"
"sp|O00487|PSDE_HUMAN","8",1,4.5,35,0.037,"8",0.416666666666667,0.233333333333333,0.55,0.205,"26S proteasome non-ATPase regulatory subunit 14 ","PSMD14"
"sp|O00505|IMA4_HUMAN","407a",1,9.4,14,0.011,"407",0.62,0.18,0.405,0.215,"Importin subunit alpha-4 ","KPNA3"
"sp|O00507-2|USP9Y_HUMAN","2852",0.6654,2.7,1,0.004,"2852",0.685,0.18,1.31,0.25,"Isoform Short of Probable ubiquitin carboxyl-terminal hydrolase FAF-Y ","USP9Y"
"sp|O00541-2|PESC_HUMAN","408a",1,15.3,21,0.02,"408",0.505,0.415,0.52,0.163333333333333,"Isoform 2 of Pescadillo homolog ","PES1"
"sp|O00560-2|SDCB1_HUMAN","409b",1,58.2,447,0.229,"409",11.152,9.307,4.23887323943662,3.44352112676056,"Isoform 2 of Syntenin-1 ","SDCBP"
"sp|O00560|SDCB1_HUMAN","409a",1,58.4,463,0.246,"409",10.7854838709677,8.96709677419355,4.02243243243243,3.29013513513514,"Syntenin-1 ","SDCBP"
"sp|O00567|NOP56_HUMAN","410a",1,29.6,58,0.054,"410",0.523846153846154,0.310769230769231,0.3825,0.2,"Nucleolar protein 56 ","NOP56"
"sp|O00571-2|DDX3X_HUMAN","726d",1,13.2,28,0.017,"726",0.341666666666667,0.256666666666667,0.4475,0.35,"Isoform 2 of ATP-dependent RNA helicase DDX3X ","DDX3X"
"sp|O00585|CCL21_HUMAN","632m",0.0031,0,24,0,"632",0.34,0.055,0.48,0.465,"C-C motif chemokine 21 ","CCL21"
"sp|O00592-2|PODXL_HUMAN","411a",1,10.6,36,0.039,"411",0.57625,0.28125,0.604,0.336,"Isoform 2 of Podocalyxin ","PODXL"
"sp|O00622|CYR61_HUMAN","9",1,26.2,52,0.056,"9",0.965,0.266,0.9225,0.379166666666667,"Protein CYR61 ","CYR61"
"sp|O00629|IMA3_HUMAN","1721a",0.9999,7.3,6,0.007,"1721",0.3,0.275,0.42,0.335,"Importin subunit alpha-3 ","KPNA4"
"sp|O00743-2|PPP6_HUMAN","412a",1,19.1,11,0.01,"412",0.31,0.44,0.38,0.46,"Isoform 2 of Serine/threonine-protein phosphatase 6 catalytic subunit ","PPP6C"
"sp|O00762-2|UBE2C_HUMAN","413a",1,15,6,0.007,"413",0.22,0.23,0.54,0.41,"Isoform 2 of Ubiquitin-conjugating enzyme E2 C ","UBE2C"
"sp|O14556|G3PT_HUMAN","586b",0.9988,9.3,72,0.036,"586",0.643333333333333,0.333333333333333,0.553333333333333,0.332,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific ","GAPDHS"
"sp|O14561|ACPM_HUMAN","415a",1,14.7,21,0.019,"415",0.486,0.218,0.3075,0.27,"Acyl carrier protein, mitochondrial ","NDUFAB1"
"sp|O14617-5|AP3D1_HUMAN","416a",1,2.7,14,0.013,"416",1.16,0.35,1.86333333333333,0.716666666666667,"Isoform 5 of AP-3 complex subunit delta-1 ","AP3D1"
"sp|O14656|TOR1A_HUMAN","417a",1,10.2,6,0.006,"417",0.48,0.23,0.44,0.33,"Torsin-1A ","TOR1A"
"sp|O14672|ADA10_HUMAN","418a",1,11.8,52,0.056,"418",0.994666666666667,0.946666666666667,1.55,0.975555555555556,"Disintegrin and metalloproteinase domain-containing protein 10 ","ADAM10"
"sp|O14684|PTGES_HUMAN","12",1,13.2,11,0.011,"12",0.43,0.255,0.52,0.393333333333333,"Prostaglandin E synthase ","PTGES"
"sp|O14744|ANM5_HUMAN","420a",1,17.9,34,0.031,"420",0.505,0.29125,0.558571428571429,0.291428571428571,"Protein arginine N-methyltransferase 5 ","PRMT5"
"sp|O14745|NHRF1_HUMAN","421a",1,13.4,6,0.006,"421",2.15,0.55,0.68,0.605,"Na(+)/H(+) exchange regulatory cofactor NHE-RF1 ","SLC9A3R1"
"sp|O14763-2|TR10B_HUMAN","13",1,9.6,9,0.01,"13",1.97,1.1,0.435,0.205,"Isoform Short of Tumor necrosis factor receptor superfamily member 10B ","TNFRSF10B"
"sp|O14782|KIF3C_HUMAN","796g",0.0023,0,5,0,"796",0.67,0.2,0.49,0.21,"Kinesin-like protein KIF3C ","KIF3C"
"sp|O14786|NRP1_HUMAN","422a",1,12.8,34,0.035,"422",1.66888888888889,1.17444444444444,1.16875,0.6925,"Neuropilin-1 ","NRP1"
"sp|O14787-2|TNPO2_HUMAN","1413b",0.02,0,18,0,"1413",0.5475,0.4225,0.315,0.115,"Isoform 2 of Transportin-2 ","TNPO2"
"sp|O14817|TSN4_HUMAN","423a",1,18.2,34,0.032,"423",13.59,7.68,2.63,1.98,"Tetraspanin-4 ","TSPAN4"
"sp|O14818-2|PSA7_HUMAN","424a",1,27.5,18,0.019,"424",0.59,0.365,0.51,0.2925,"Isoform 2 of Proteasome subunit alpha type-7 ","PSMA7"
"sp|O14828|SCAM3_HUMAN","425a",1,18.7,17,0.017,"425",2.725,1.52,0.794,0.516,"Secretory carrier-associated membrane protein 3 ","SCAMP3"
"sp|O14879|IFIT3_HUMAN","1706",0.9999,3.1,4,0.004,"1706",0.56,0.255,0.28,0.31,"Interferon-induced protein with tetratricopeptide repeats 3 ","IFIT3"
"sp|O14908-2|GIPC1_HUMAN","15",1,21.9,2,0.002,"15",0.82,0.48,0.46,0.7,"Isoform 2 of PDZ domain-containing protein GIPC1 ","GIPC1"
"sp|O14949|QCR8_HUMAN","17",1,42.7,15,0.015,"17",0.2,0.185,0.365,0.235,"Cytochrome b-c1 complex subunit 8 ","UQCRQ"
"sp|O14950|ML12B_HUMAN","426a",1,34.5,51,0.054,"426",0.56,0.273333333333333,0.5525,0.340625,"Myosin regulatory light chain 12B ","MYL12B"
"sp|O14964-2|HGS_HUMAN","427a",1,4.5,9,0.01,"427",0.933333333333333,0.62,0.77,0.285,"Isoform 2 of Hepatocyte growth factor-regulated tyrosine kinase substrate ","HGS"
"sp|O14965|AURKA_HUMAN","428a",1,10.2,28,0.025,"428",2.30125,1.855,1.31666666666667,1.12166666666667,"Aurora kinase A ","AURKA"
"sp|O14979-2|HNRDL_HUMAN","1196c",1,20.9,27,0.018,"1196",0.286,0.244,0.384,0.168,"Isoform 2 of Heterogeneous nuclear ribonucleoprotein D-like ","HNRNPDL"
"sp|O14980|XPO1_HUMAN","430a",1,6.1,19,0.019,"430",0.544,0.298,0.83,0.06,"Exportin-1 ","XPO1"
"sp|O15031|PLXB2_HUMAN","431a",1,7.1,34,0.037,"431",0.960909090909091,0.525454545454546,0.905714285714286,0.455714285714286,"Plexin-B2 ","PLXNB2"
"sp|O15033-2|AREL1_HUMAN","446b",0.0097,0,20,0,"446",1.01,0.55,0.62,0.61,"Isoform 2 of Apoptosis-resistant E3 ubiquitin protein ligase 1 ","AREL1"
"sp|O15067|PUR4_HUMAN","433a",1,2.1,11,0.012,"433",0.236666666666667,0.203333333333333,0.49,0.41,"Phosphoribosylformylglycinamidine synthase ","PFAS"
"sp|O15084-1|ANR28_HUMAN","2213",0.9826,1.2,4,0.004,"2213",0.51,0.23,0.55,0.11,"Isoform 3 of Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A ","ANKRD28"
"sp|O15085-2|ARHGB_HUMAN","1336b",0.001,0,3,0,"1336",0.79,0.45,0.58,0.94,"Isoform 2 of Rho guanine nucleotide exchange factor 11 ","ARHGEF11"
"sp|O15118|NPC1_HUMAN","434a",1,3.1,6,0.006,"434",1.39,0.23,0.635,0.48,"Niemann-Pick C1 protein ","NPC1"
"sp|O15127|SCAM2_HUMAN","1884",0.9865,6.2,7,0.008,"1884",0.585,0.345,0.515,0.175,"Secretory carrier-associated membrane protein 2 ","SCAMP2"
"sp|O15143|ARC1B_HUMAN","435a",1,23.9,20,0.021,"435",0.474285714285714,0.322857142857143,2.574,1.41,"Actin-related protein 2/3 complex subunit 1B ","ARPC1B"
"sp|O15144|ARPC2_HUMAN","436a",1,18.3,26,0.028,"436",0.4625,0.2775,0.658888888888889,0.302222222222222,"Actin-related protein 2/3 complex subunit 2 ","ARPC2"
"sp|O15162-2|PLS1_HUMAN","439a",1,11.7,9,0.01,"439",2.185,1.13,2.085,1.475,"Isoform 2 of Phospholipid scramblase 1 ","PLSCR1"
"sp|O15173-2|PGRC2_HUMAN","398b",1,19.7,12,0.012,"398",0.2,0.166666666666667,0.496666666666667,0.19,"Isoform 2 of Membrane-associated progesterone receptor component 2 ","PGRMC2"
"sp|O15198-2|SMAD9_HUMAN","1090b",0.9994,4.7,26,0.015,"1090",1.08,1.0975,1.1275,0.23,"Isoform B of Mothers against decapentaplegic homolog 9 ","SMAD9"
"sp|O15212|PFD6_HUMAN","440a",1,23.3,10,0.01,"440",1.01666666666667,0.523333333333333,0.54,0.26,"Prefoldin subunit 6 ","PFDN6"
"sp|O15230|LAMA5_HUMAN","441a",1,2.5,28,0.028,"441",1.055,0.336666666666667,0.95,0.152,"Laminin subunit alpha-5 ","LAMA5"
"sp|O15258|RER1_HUMAN","2405",0.9644,4.1,5,0.005,"2405",0.59,0.31,0.32,0.14,"Protein RER1 ","RER1"
"sp|O15264|MK13_HUMAN","889d",0.9835,5.1,10,0.003,"889",0.29,0.24,0.16,0.23,"Mitogen-activated protein kinase 13 ","MAPK13"
"sp|O15347|HMGB3_HUMAN","18",1,17.6,8,0.008,"18",0.25,0.2,0.28,0.08,"High mobility group protein B3 ","HMGB3"
"sp|O15355|PPM1G_HUMAN","443a",1,5.7,17,0.015,"443",1.32,0.0866666666666667,0.65,0.2475,"Protein phosphatase 1G ","PPM1G"
"sp|O15371|EIF3D_HUMAN","444a",1,5.4,6,0.007,"444",0.34,0.04,0.395,0.145,"Eukaryotic translation initiation factor 3 subunit D ","EIF3D"
"sp|O15400-2|STX7_HUMAN","1886",0.9865,6.3,4,0.004,"1886",0.38,0.43,0.61,0.36,"Isoform 2 of Syntaxin-7 ","STX7"
"sp|O15427|MOT4_HUMAN","446a",1,18.5,108,0.105,"446",1.39111111111111,1.18333333333333,1.32625,1.029375,"Monocarboxylate transporter 4 ","SLC16A3"
"sp|O15498|YKT6_HUMAN","447a",1,7.6,9,0.01,"447",0.82,1.59,0.42,1.03333333333333,"Synaptobrevin homolog YKT6 ","YKT6"
"sp|O15511-2|ARPC5_HUMAN","448a",1,17.2,11,0.012,"448",0.67,0.39,0.823333333333333,0.29,"Isoform 2 of Actin-related protein 2/3 complex subunit 5 ","ARPC5"
"sp|O15533-2|TPSN_HUMAN","449a",1,4.6,19,0.021,"449",0.236,0.184,0.472,0.336,"Isoform 2 of Tapasin ","TAPBP"
"sp|O43143|DHX15_HUMAN","450a",1,29.7,190,0.202,"450",1.59978260869565,0.891521739130435,1.96733333333333,1.10733333333333,"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 ","DHX15"
"sp|O43169|CYB5B_HUMAN","451a",1,23.3,12,0.012,"451",0.31,0.17,0.495,0.275,"Cytochrome b5 type B ","CYB5B"
"sp|O43172-2|PRP4_HUMAN","1887",0.9865,3.1,6,0.007,"1887",0.655,0.465,0.67,0.14,"Isoform 2 of U4/U6 small nuclear ribonucleoprotein Prp4 ","PRPF4"
"sp|O43175|SERA_HUMAN","1173b",0.9996,5.6,28,0.028,"1173",0.603333333333333,0.423333333333333,0.335,0.135,"D-3-phosphoglycerate dehydrogenase ","PHGDH"
"sp|O43242|PSMD3_HUMAN","452a",1,32.2,68,0.074,"452",0.53,0.254,0.450833333333333,0.235,"26S proteasome non-ATPase regulatory subunit 3 ","PSMD3"
"sp|O43291-2|SPIT2_HUMAN","1889",0.9865,13.2,4,0.004,"1889",0.79,1.44,2.05,2.59,"Isoform 2 of Kunitz-type protease inhibitor 2 ","SPINT2"
"sp|O43324-2|MCA3_HUMAN","454a",1,20.6,9,0.01,"454",0.346666666666667,0.296666666666667,0.26,0.14,"Isoform 2 of Eukaryotic translation elongation factor 1 epsilon-1 ","EEF1E1"
"sp|O43390-2|HNRPR_HUMAN","480b",1,16.6,61,0.045,"480",0.301538461538462,0.179230769230769,0.458888888888889,0.234444444444444,"Isoform 2 of Heterogeneous nuclear ribonucleoprotein R ","HNRNPR"
"sp|O43399-5|TPD54_HUMAN","456a",1,28.2,22,0.024,"456",0.62,0.38,1.006,0.374,"Isoform 5 of Tumor protein D54 ","TPD52L2"
"sp|O43402|EMC8_HUMAN","2109",0.9852,9,7,0.008,"2109",0.69,0.3,0.37,0.14,"ER membrane protein complex subunit 8 ","EMC8"
"sp|O43432-3|IF4G3_HUMAN","1122b",0.9999,3.1,19,0.011,"1122",0.32,0.116666666666667,0.285555555555556,0.121111111111111,"Isoform 3 of Eukaryotic translation initiation factor 4 gamma 3 ","EIF4G3"
"sp|O43491|E41L2_HUMAN","457a",1,11.4,24,0.023,"457",0.98,0.41,0.93,0.52,"Band 4.1-like protein 2 ","EPB41L2"
"sp|O43615|TIM44_HUMAN","459a",1,18.6,27,0.03,"459",0.43,0.128333333333333,0.36,0.07,"Mitochondrial import inner membrane translocase subunit TIM44 ","TIMM44"
"sp|O43617|TPPC3_HUMAN","460a",1,15.3,6,0.007,"460",0.61,0.34,0.36,0.2,"Trafficking protein particle complex subunit 3 ","TRAPPC3"
"sp|O43633|CHM2A_HUMAN","461a",1,18.5,23,0.024,"461",1.562,1.516,1.27,1.076,"Charged multivesicular body protein 2a ","CHMP2A"
"sp|O43657|TSN6_HUMAN","20",1,22.9,31,0.033,"20",1.565,1.25625,3.38,3.70833333333333,"Tetraspanin-6 ","TSPAN6"
"sp|O43677|NDUC1_HUMAN","21",1,27.6,7,0.008,"21",0.12,0.1,0.603333333333333,0.373333333333333,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial ","NDUFC1"
"sp|O43681|ASNA_HUMAN","463a",1,8,38,0.041,"463",0.511428571428571,0.205714285714286,0.937142857142857,0.865714285714286,"ATPase ASNA1 ","ASNA1"
"sp|O43684-2|BUB3_HUMAN","464a",1,21.4,15,0.016,"464",0.835,0.365,0.41,0.186666666666667,"Isoform 2 of Mitotic checkpoint protein BUB3 ","BUB3"
"sp|O43707|ACTN4_HUMAN","465a",1,35.9,223,0.176,"465",0.828666666666667,0.408,0.896842105263158,0.504473684210526,"Alpha-actinin-4 ","ACTN4"
"sp|O43719|HTSF1_HUMAN","466a",1,7,19,0.021,"466",0.3,0.2175,1.92,1.38,"HIV Tat-specific factor 1 ","HTATSF1"
"sp|O43747-2|AP1G1_HUMAN","2175a",0.9841,2.6,7,0.005,"2175",0.93,0.2,0.31,0.17,"Isoform 2 of AP-1 complex subunit gamma-1 ","AP1G1"
"sp|O43760|SNG2_HUMAN","467a",1,16.1,25,0.023,"467",0.4125,0.255,0.537142857142857,0.191428571428571,"Synaptogyrin-2 ","SYNGR2"
"sp|O43772|MCAT_HUMAN","1892",0.9865,5.7,2,0.002,"1892",0.45,0.57,0.55,0.33,"Mitochondrial carnitine/acylcarnitine carrier protein ","SLC25A20"
"sp|O43795-2|MYO1B_HUMAN","392b",1,10.3,48,0.044,"392",1.66375,0.98375,1.106,0.379,"Isoform 2 of Unconventional myosin-Ib ","MYO1B"
"sp|O43809|CPSF5_HUMAN","468a",1,22.1,5,0.005,"468",0.36,0.18,0.246666666666667,0.143333333333333,"Cleavage and polyadenylation specificity factor subunit 5 ","NUDT21"
"sp|O43837|IDH3B_HUMAN","470a",1,16.6,26,0.028,"470",0.484,0.21,0.62,0.176666666666667,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial ","IDH3B"
"sp|O43852-2|CALU_HUMAN","471b",1,33.3,46,0.026,"471",0.535,0.27,0.43,0.270909090909091,"Isoform 2 of Calumenin ","CALU"
"sp|O43852-3|CALU_HUMAN","471a",1,36.2,56,0.037,"471",0.532142857142857,0.258571428571429,0.466923076923077,0.312307692307692,"Isoform 3 of Calumenin ","CALU"
"sp|O43854-2|EDIL3_HUMAN","22",1,54.7,1244,1.322,"22",4.52711111111111,4.06591111111111,3.36714285714286,2.83451428571429,"Isoform 2 of EGF-like repeat and discoidin I-like domain-containing protein 3 ","EDIL3"
"sp|O43865|SAHH2_HUMAN","472a",1,14.5,12,0.022,"472",0.791666666666667,0.48,0.782857142857143,0.268571428571429,"Putative adenosylhomocysteinase 2 ","AHCYL1"
"sp|O43920|NDUS5_HUMAN","474a",1,12.3,4,0.004,"474",0.83,0.6,0.37,0.22,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 ","NDUFS5"
"sp|O43933|PEX1_HUMAN","975g",1,3.6,17,0.013,"975",0.345,0.2,0.53,0.17,"Peroxisome biogenesis factor 1 ","PEX1"
"sp|O60234|GMFG_HUMAN","1893",0.9865,17.2,4,0.004,"1893",0.86,0.41,0.71,0.18,"Glia maturation factor gamma ","GMFG"
"sp|O60264|SMCA5_HUMAN","475a",1,6.5,25,0.028,"475",0.37,0.15,0.575,0.205,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 ","SMARCA5"
"sp|O60293-2|ZC3H1_HUMAN","1779b",0.3166,0.9,3,0,"1779",0.21,0.18,0.276666666666667,0.17,"Isoform 2 of Zinc finger C3H1 domain-containing protein ","ZFC3H1"
"sp|O60306|AQR_HUMAN","477a",1,2.3,4,0.004,"477",0.67,0.16,0.89,0.49,"Intron-binding protein aquarius ","AQR"
"sp|O60361|NDK8_HUMAN","762c",0.0432,0,63,0,"762",0.682352941176471,0.474705882352941,0.708181818181818,0.382727272727273,"Putative nucleoside diphosphate kinase ","NME2P1"
"sp|O60487|MPZL2_HUMAN","1895",0.9865,6,6,0.007,"1895",1.47,1.29,0.54,0.95,"Myelin protein zero-like protein 2 ","MPZL2"
"sp|O60488-2|ACSL4_HUMAN","544b",1,13.4,25,0.025,"544",0.3275,0.2775,0.6875,0.4725,"Isoform Short of Long-chain-fatty-acid--CoA ligase 4 ","ACSL4"
"sp|O60493-4|SNX3_HUMAN","479d",0.0059,0,12,0,"479",0.55,0.53,0.424,0.336,"Isoform 4 of Sorting nexin-3 ","SNX3"
"sp|O60493|SNX3_HUMAN","479a",0.9999,14.2,14,0.011,"479",0.55,0.53,0.424,0.336,"Sorting nexin-3 ","SNX3"
"sp|O60506-3|HNRPQ_HUMAN","480a",1,19.2,63,0.047,"480",0.469230769230769,0.213076923076923,0.385,0.195,"Isoform 3 of Heterogeneous nuclear ribonucleoprotein Q ","SYNCRIP"
"sp|O60518|RNBP6_HUMAN","1808",0.999,3.4,25,0.018,"1808",0.453333333333333,0.196666666666667,0.49,0.17,"Ran-binding protein 6 ","RANBP6"
"sp|O60524-3|NEMF_HUMAN","25",1,11.2,10,0.011,"25",1,1.09,0.935,0.08,"Isoform 3 of Nuclear export mediator factor NEMF ","NEMF"
"sp|O60547-2|GMDS_HUMAN","2261",0.9799,2.3,4,0.004,"2261",0.695,0.39,0.68,0.34,"Isoform 2 of GDP-mannose 4,6 dehydratase ","GMDS"
"sp|O60568|PLOD3_HUMAN","481a",1,20.9,94,0.097,"481",0.602941176470588,0.403529411764706,0.581,0.33,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 ","PLOD3"
"sp|O60610-2|DIAP1_HUMAN","482a",1,5.4,23,0.025,"482",0.52,0.305,0.385,0.41,"Isoform 2 of Protein diaphanous homolog 1 ","DIAPH1"
"sp|O60613|SEP15_HUMAN","3013",0.4174,4.3,7,0.004,"3013",0.59,0.74,1.14,0.77,"15 kDa selenoprotein ","SEP15"
"sp|O60664-3|PLIN3_HUMAN","483a",1,17.5,15,0.015,"483",0.5775,0.29,0.7625,0.8525,"Isoform 3 of Perilipin-3 ","PLIN3"
"sp|O60684|IMA7_HUMAN","484a",1,7.3,8,0.008,"484",0.73,0.125,0.32,0.26,"Importin subunit alpha-7 ","KPNA6"
"sp|O60716-10|CTND1_HUMAN","485a",1,16.2,42,0.039,"485",0.988,1.003,0.7,0.775,"Isoform 2AB of Catenin delta-1 ","CTNND1"
"sp|O60732|MAGC1_HUMAN","1821a",0.9981,1.8,6,0.005,"1821",0.43,0.33,0.23,0.1,"Melanoma-associated antigen C1 ","MAGEC1"
"sp|O60762|DPM1_HUMAN","487a",1,23.1,40,0.043,"487",0.286,0.178,0.711,0.31,"Dolichol-phosphate mannosyltransferase subunit 1 ","DPM1"
"sp|O60763-2|USO1_HUMAN","488a",1,5.4,10,0.01,"488",0.845,0.41,0.52,0.21,"Isoform 2 of General vesicular transport factor p115 ","USO1"
"sp|O60814|H2B1K_HUMAN","489a",1,53.2,424,0.241,"489",0.288846153846154,0.136730769230769,0.260566037735849,0.14,"Histone H2B type 1-K ","HIST1H2BK"
"sp|O60832|DKC1_HUMAN","490a",1,6.4,11,0.012,"490",0.295,0.18,0.55,0.33,"H/ACA ribonucleoprotein complex subunit 4 ","DKC1"
"sp|O60841|IF2P_HUMAN","26",1,7.4,18,0.017,"26",0.6125,0.22,0.7,0.35,"Eukaryotic translation initiation factor 5B ","EIF5B"
"sp|O60879-2|DIAP2_HUMAN","2215",0.9826,0.6,8,0.009,"2215",0.95,0.65,0.95,0.49,"Isoform 2 of Protein diaphanous homolog 2 ","DIAPH2"
