proteins.Protein,proteins.SD_130.129,proteins.SD_131.129,proteins.Description,proteins.Unique_Peptides,proteins.Gene_Name,proteins.Probability,proteins.Coverage,proteins.Entry_Num,proteins.Protein_Group,proteins.Ratio_130.129,proteins.Ratio_131.129
sp|O00220|TR10A_HUMAN,0.205,0.145,Tumor necrosis factor receptor superfamily member 10A ,1,TNFRSF10A,1,5.1,4,4,0.835,0.755
sp|O00231-2|PSD11_HUMAN,0.138958333333333,0.069375,Isoform 2 of 26S proteasome non-ATPase regulatory subunit 11 ,10,PSMD11,1,30.8,397a,397,0.692708333333333,0.390625
sp|O00232-2|PSD12_HUMAN,0.1975,0.0391666666666667,Isoform 2 of 26S proteasome non-ATPase regulatory subunit 12 ,6,PSMD12,1,19,5,5,0.6025,0.279166666666667
sp|O00264|PGRC1_HUMAN,0.015,0.0783333333333333,Membrane-associated progesterone receptor component 1 ,4,PGRMC1,1,26.2,398a,398,0.295,0.181666666666667
sp|O00299|CLIC1_HUMAN,0.0911624649859945,0.0315406162464986,Chloride intracellular channel protein 1 ,6,CLIC1,1,33.6,399a,399,0.853543417366947,0.410364145658263
sp|O00330-3|ODPX_HUMAN,0.0425,0.01875,Isoform 3 of Pyruvate dehydrogenase protein X component; mitochondrial ,2,PDHX,1,16,401a,401,0.2525,0.18375
sp|O00429-2|DNM1L_HUMAN,0.086,0.107,Isoform 4 of Dynamin-1-like protein ,4,DNM1L,1,10.4,404a,404,0.534,0.287
sp|O00442-2|RTCA_HUMAN,0.0383333333333333,0.00166666666666668,Isoform 2 of RNA 3'-terminal phosphate cyclase ,1,RTCA,1,8.2,7,7,0.248333333333333,0.191666666666667
sp|O00468-2|AGRIN_HUMAN,0.03875,0.227916666666667,Isoform 2 of Agrin ,6,AGRN,1,4.6,405a,405,1.17375,0.415416666666667
sp|O00469-2|PLOD2_HUMAN,0.0056349206349206,0.110555555555556,Isoform 2 of Procollagen-lysine;2-oxoglutarate 5-dioxygenase 2 ,7,PLOD2,1,10,406a,406,0.519920634920635,0.270555555555556
sp|O00483|NDUA4_HUMAN,0.0175,0.0325,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 ,1,NDUFA4,0.9839,8.6,2176,2176,0.3675,0.2825
sp|O00487|PSDE_HUMAN,0.0666666666666667,0.0141666666666666,26S proteasome non-ATPase regulatory subunit 14 ,1,PSMD14,1,4.5,8,8,0.483333333333333,0.219166666666667
sp|O00505|IMA4_HUMAN,0.1075,0.0175,Importin subunit alpha-4 ,4,KPNA3,1,9.4,407a,407,0.5125,0.1975
sp|O00507-2|USP9Y_HUMAN,0.3125,0.035,Isoform Short of Probable ubiquitin carboxyl-terminal hydrolase FAF-Y ,2,USP9Y,0.6654,2.7,2852,2852,0.9975,0.215
sp|O00541-2|PESC_HUMAN,0.00750000000000001,0.125833333333333,Isoform 2 of Pescadillo homolog ,4,PES1,1,15.3,408a,408,0.5125,0.289166666666667
sp|O00560-2|SDCB1_HUMAN,3.45656338028169,2.93173943661972,Isoform 2 of Syntenin-1 ,16,SDCBP,1,58.2,409b,409,7.69543661971831,6.37526056338028
sp|O00560|SDCB1_HUMAN,3.38152571926765,2.83848081952921,Syntenin-1 ,16,SDCBP,1,58.4,409a,409,7.40395815170009,6.12861595466434
sp|O00567|NOP56_HUMAN,0.0706730769230769,0.0553846153846154,Nucleolar protein 56 ,10,NOP56,1,29.6,410a,410,0.453173076923077,0.255384615384615
sp|O00571-2|DDX3X_HUMAN,0.0529166666666666,0.0466666666666667,Isoform 2 of ATP-dependent RNA helicase DDX3X ,6,DDX3X,1,13.2,726d,726,0.394583333333333,0.303333333333333
sp|O00585|CCL21_HUMAN,0.07,0.205,C-C motif chemokine 21 ,1,CCL21,0.0031,0,632m,632,0.41,0.26
sp|O00592-2|PODXL_HUMAN,0.013875,0.027375,Isoform 2 of Podocalyxin ,3,PODXL,1,10.6,411a,411,0.590125,0.308625
sp|O00622|CYR61_HUMAN,0.02125,0.0565833333333333,Protein CYR61 ,6,CYR61,1,26.2,9,9,0.94375,0.322583333333333
sp|O00629|IMA3_HUMAN,0.06,0.03,Importin subunit alpha-3 ,3,KPNA4,0.9999,7.3,1721a,1721,0.36,0.305
sp|O00743-2|PPP6_HUMAN,0.035,0.01,Isoform 2 of Serine/threonine-protein phosphatase 6 catalytic subunit ,3,PPP6C,1,19.1,412a,412,0.345,0.45
sp|O00762-2|UBE2C_HUMAN,0.16,0.09,Isoform 2 of Ubiquitin-conjugating enzyme E2 C ,1,UBE2C,1,15,413a,413,0.38,0.32
sp|O14556|G3PT_HUMAN,0.045,0.000666666666666621,Glyceraldehyde-3-phosphate dehydrogenase; testis-specific ,5,GAPDHS,0.9988,9.3,586b,586,0.598333333333333,0.332666666666667
sp|O14561|ACPM_HUMAN,0.08925,0.026,Acyl carrier protein; mitochondrial ,1,NDUFAB1,1,14.7,415a,415,0.39675,0.244
sp|O14617-5|AP3D1_HUMAN,0.351666666666667,0.183333333333333,Isoform 5 of AP-3 complex subunit delta-1 ,2,AP3D1,1,2.7,416a,416,1.51166666666667,0.533333333333333
sp|O14656|TOR1A_HUMAN,0.02,0.05,Torsin-1A ,2,TOR1A,1,10.2,417a,417,0.46,0.28
sp|O14672|ADA10_HUMAN,0.277666666666667,0.0144444444444444,Disintegrin and metalloproteinase domain-containing protein 10 ,8,ADAM10,1,11.8,418a,418,1.27233333333333,0.961111111111111
sp|O14684|PTGES_HUMAN,0.045,0.0691666666666667,Prostaglandin E synthase ,2,PTGES,1,13.2,12,12,0.475,0.324166666666667
sp|O14744|ANM5_HUMAN,0.0267857142857143,8.92857142857084e-05,Protein arginine N-methyltransferase 5 ,8,PRMT5,1,17.9,420a,420,0.531785714285714,0.291339285714286
sp|O14745|NHRF1_HUMAN,0.735,0.0275,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 ,3,SLC9A3R1,1,13.4,421a,421,1.415,0.5775
sp|O14763-2|TR10B_HUMAN,0.7675,0.4475,Isoform Short of Tumor necrosis factor receptor superfamily member 10B ,1,TNFRSF10B,1,9.6,13,13,1.2025,0.6525
sp|O14782|KIF3C_HUMAN,0.09,0.00499999999999999,Kinesin-like protein KIF3C ,1,KIF3C,0.0023,0,796g,796,0.58,0.205
sp|O14786|NRP1_HUMAN,0.250069444444444,0.240972222222222,Neuropilin-1 ,9,NRP1,1,12.8,422a,422,1.41881944444444,0.933472222222222
sp|O14787-2|TNPO2_HUMAN,0.11625,0.15375,Isoform 2 of Transportin-2 ,4,TNPO2,0.02,0,1413b,1413,0.43125,0.26875
sp|O14817|TSN4_HUMAN,5.48,2.85,Tetraspanin-4 ,1,TSPAN4,1,18.2,423a,423,8.11,4.83
sp|O14818-2|PSA7_HUMAN,0.04,0.03625,Isoform 2 of Proteasome subunit alpha type-7 ,3,PSMA7,1,27.5,424a,424,0.55,0.32875
sp|O14828|SCAM3_HUMAN,0.9655,0.502,Secretory carrier-associated membrane protein 3 ,3,SCAMP3,1,18.7,425a,425,1.7595,1.018
sp|O14879|IFIT3_HUMAN,0.14,0.0275,Interferon-induced protein with tetratricopeptide repeats 3 ,2,IFIT3,0.9999,3.1,1706,1706,0.42,0.2825
sp|O14908-2|GIPC1_HUMAN,0.18,0.11,Isoform 2 of PDZ domain-containing protein GIPC1 ,2,GIPC1,1,21.9,15,15,0.64,0.59
sp|O14949|QCR8_HUMAN,0.0825,0.025,Cytochrome b-c1 complex subunit 8 ,4,UQCRQ,1,42.7,17,17,0.2825,0.21
sp|O14950|ML12B_HUMAN,0.00375000000000003,0.0336458333333333,Myosin regulatory light chain 12B ,7,MYL12B,1,34.5,426a,426,0.55625,0.306979166666667
sp|O14964-2|HGS_HUMAN,0.0816666666666667,0.1675,Isoform 2 of Hepatocyte growth factor-regulated tyrosine kinase substrate ,3,HGS,1,4.5,427a,427,0.851666666666667,0.4525
sp|O14965|AURKA_HUMAN,0.492291666666667,0.366666666666667,Aurora kinase A ,4,AURKA,1,10.2,428a,428,1.80895833333333,1.48833333333333
sp|O14979-2|HNRDL_HUMAN,0.049,0.038,Isoform 2 of Heterogeneous nuclear ribonucleoprotein D-like ,4,HNRNPDL,1,20.9,1196c,1196,0.335,0.206
sp|O14980|XPO1_HUMAN,0.143,0.119,Exportin-1 ,6,XPO1,1,6.1,430a,430,0.687,0.179
sp|O15031|PLXB2_HUMAN,0.0275974025974026,0.0348701298701299,Plexin-B2 ,10,PLXNB2,1,7.1,431a,431,0.933311688311688,0.490584415584416
sp|O15033-2|AREL1_HUMAN,0.195,0.03,Isoform 2 of Apoptosis-resistant E3 ubiquitin protein ligase 1 ,1,AREL1,0.0097,0,446b,446,0.815,0.58
sp|O15067|PUR4_HUMAN,0.126666666666667,0.103333333333333,Phosphoribosylformylglycinamidine synthase ,2,PFAS,1,2.1,433a,433,0.363333333333333,0.306666666666667
sp|O15084-1|ANR28_HUMAN,0.02,0.06,Isoform 3 of Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A ,1,ANKRD28,0.9826,1.2,2213,2213,0.53,0.17
sp|O15085-2|ARHGB_HUMAN,0.105,0.245,Isoform 2 of Rho guanine nucleotide exchange factor 11 ,1,ARHGEF11,0.001,0,1336b,1336,0.685,0.695
sp|O15118|NPC1_HUMAN,0.3775,0.125,Niemann-Pick C1 protein ,4,NPC1,1,3.1,434a,434,1.0125,0.355
sp|O15127|SCAM2_HUMAN,0.035,0.085,Secretory carrier-associated membrane protein 2 ,1,SCAMP2,0.9865,6.2,1884,1884,0.55,0.26
sp|O15143|ARC1B_HUMAN,1.04985714285714,0.543571428571429,Actin-related protein 2/3 complex subunit 1B ,6,ARPC1B,1,23.9,435a,435,1.52414285714286,0.866428571428572
sp|O15144|ARPC2_HUMAN,0.0981944444444444,0.0123611111111111,Actin-related protein 2/3 complex subunit 2 ,6,ARPC2,1,18.3,436a,436,0.560694444444444,0.289861111111111
sp|O15162-2|PLS1_HUMAN,0.05,0.1725,Isoform 2 of Phospholipid scramblase 1 ,2,PLSCR1,1,11.7,439a,439,2.135,1.3025
sp|O15173-2|PGRC2_HUMAN,0.148333333333333,0.0116666666666667,Isoform 2 of Membrane-associated progesterone receptor component 2 ,4,PGRMC2,1,19.7,398b,398,0.348333333333333,0.178333333333333
sp|O15198-2|SMAD9_HUMAN,0.0237499999999999,0.43375,Isoform B of Mothers against decapentaplegic homolog 9 ,1,SMAD9,0.9994,4.7,1090b,1090,1.10375,0.66375
sp|O15212|PFD6_HUMAN,0.238333333333333,0.131666666666667,Prefoldin subunit 6 ,3,PFDN6,1,23.3,440a,440,0.778333333333333,0.391666666666667
sp|O15230|LAMA5_HUMAN,0.0525,0.0923333333333334,Laminin subunit alpha-5 ,5,LAMA5,1,2.5,441a,441,1.0025,0.244333333333333
sp|O15258|RER1_HUMAN,0.135,0.085,Protein RER1 ,1,RER1,0.9644,4.1,2405,2405,0.455,0.225
sp|O15264|MK13_HUMAN,0.065,0.00499999999999999,Mitogen-activated protein kinase 13 ,3,MAPK13,0.9835,5.1,889d,889,0.225,0.235
sp|O15347|HMGB3_HUMAN,0.015,0.06,High mobility group protein B3 ,2,HMGB3,1,17.6,18,18,0.265,0.14
sp|O15355|PPM1G_HUMAN,0.335,0.0804166666666667,Protein phosphatase 1G ,3,PPM1G,1,5.7,443a,443,0.985,0.167083333333333
sp|O15371|EIF3D_HUMAN,0.0275,0.0525,Eukaryotic translation initiation factor 3 subunit D ,2,EIF3D,1,5.4,444a,444,0.3675,0.0925
sp|O15400-2|STX7_HUMAN,0.115,0.035,Isoform 2 of Syntaxin-7 ,1,STX7,0.9865,6.3,1886,1886,0.495,0.395
sp|O15427|MOT4_HUMAN,0.0324305555555556,0.0769791666666667,Monocarboxylate transporter 4 ,7,SLC16A3,1,18.5,446a,446,1.35868055555556,1.10635416666667
sp|O15498|YKT6_HUMAN,0.2,0.278333333333333,Synaptobrevin homolog YKT6 ,2,YKT6,1,7.6,447a,447,0.62,1.31166666666667
sp|O15511-2|ARPC5_HUMAN,0.0766666666666667,0.05,Isoform 2 of Actin-related protein 2/3 complex subunit 5 ,2,ARPC5,1,17.2,448a,448,0.746666666666667,0.34
sp|O15533-2|TPSN_HUMAN,0.118,0.076,Isoform 2 of Tapasin ,2,TAPBP,1,4.6,449a,449,0.354,0.26
sp|O43143|DHX15_HUMAN,0.183775362318841,0.107905797101449,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 ,17,DHX15,1,29.7,450a,450,1.78355797101449,0.999427536231884
sp|O43169|CYB5B_HUMAN,0.0925,0.0525,Cytochrome b5 type B ,1,CYB5B,1,23.3,451a,451,0.4025,0.2225
sp|O43172-2|PRP4_HUMAN,0.00750000000000001,0.1625,Isoform 2 of U4/U6 small nuclear ribonucleoprotein Prp4 ,1,PRPF4,0.9865,3.1,1887,1887,0.6625,0.3025
sp|O43175|SERA_HUMAN,0.134166666666667,0.144166666666667,D-3-phosphoglycerate dehydrogenase ,2,PHGDH,0.9996,5.6,1173b,1173,0.469166666666667,0.279166666666667
sp|O43242|PSMD3_HUMAN,0.0395833333333333,0.00949999999999999,26S proteasome non-ATPase regulatory subunit 3 ,14,PSMD3,1,32.2,452a,452,0.490416666666667,0.2445
sp|O43291-2|SPIT2_HUMAN,0.63,0.575,Isoform 2 of Kunitz-type protease inhibitor 2 ,1,SPINT2,0.9865,13.2,1889,1889,1.42,2.015
sp|O43324-2|MCA3_HUMAN,0.0433333333333333,0.0783333333333333,Isoform 2 of Eukaryotic translation elongation factor 1 epsilon-1 ,3,EEF1E1,1,20.6,454a,454,0.303333333333333,0.218333333333333
sp|O43390-2|HNRPR_HUMAN,0.0786752136752137,0.0276068376068376,Isoform 2 of Heterogeneous nuclear ribonucleoprotein R ,8,HNRNPR,1,16.6,480b,480,0.380213675213675,0.206837606837607
sp|O43399-5|TPD54_HUMAN,0.193,0.00300000000000003,Isoform 5 of Tumor protein D54 ,5,TPD52L2,1,28.2,456a,456,0.813,0.377
sp|O43402|EMC8_HUMAN,0.16,0.08,ER membrane protein complex subunit 8 ,1,EMC8,0.9852,9,2109,2109,0.53,0.22
sp|O43432-3|IF4G3_HUMAN,0.0172222222222222,0.00222222222222223,Isoform 3 of Eukaryotic translation initiation factor 4 gamma 3 ,4,EIF4G3,0.9999,3.1,1122b,1122,0.302777777777778,0.118888888888889
sp|O43491|E41L2_HUMAN,0.025,0.055,Band 4.1-like protein 2 ,3,EPB41L2,1,11.4,457a,457,0.955,0.465
sp|O43615|TIM44_HUMAN,0.035,0.0291666666666667,Mitochondrial import inner membrane translocase subunit TIM44 ,4,TIMM44,1,18.6,459a,459,0.395,0.0991666666666667
sp|O43617|TPPC3_HUMAN,0.125,0.07,Trafficking protein particle complex subunit 3 ,1,TRAPPC3,1,15.3,460a,460,0.485,0.27
sp|O43633|CHM2A_HUMAN,0.146,0.22,Charged multivesicular body protein 2a ,3,CHMP2A,1,18.5,461a,461,1.416,1.296
sp|O43657|TSN6_HUMAN,0.9075,1.22604166666667,Tetraspanin-6 ,4,TSPAN6,1,22.9,20,20,2.4725,2.48229166666667
sp|O43677|NDUC1_HUMAN,0.241666666666667,0.136666666666667,NADH dehydrogenase [ubiquinone] 1 subunit C1; mitochondrial ,2,NDUFC1,1,27.6,21,21,0.361666666666667,0.236666666666667
sp|O43681|ASNA_HUMAN,0.212857142857143,0.33,ATPase ASNA1 ,3,ASNA1,1,8,463a,463,0.724285714285714,0.535714285714286
sp|O43684-2|BUB3_HUMAN,0.2125,0.0891666666666667,Isoform 2 of Mitotic checkpoint protein BUB3 ,3,BUB3,1,21.4,464a,464,0.6225,0.275833333333333
sp|O43707|ACTN4_HUMAN,0.0340877192982456,0.0482368421052632,Alpha-actinin-4 ,24,ACTN4,1,35.9,465a,465,0.862754385964912,0.456236842105263
sp|O43719|HTSF1_HUMAN,0.81,0.58125,HIV Tat-specific factor 1 ,3,HTATSF1,1,7,466a,466,1.11,0.79875
sp|O43747-2|AP1G1_HUMAN,0.31,0.015,Isoform 2 of AP-1 complex subunit gamma-1 ,1,AP1G1,0.9841,2.6,2175a,2175,0.62,0.185
sp|O43760|SNG2_HUMAN,0.0623214285714286,0.0317857142857143,Synaptogyrin-2 ,3,SYNGR2,1,16.1,467a,467,0.474821428571429,0.223214285714286
sp|O43772|MCAT_HUMAN,0.05,0.12,Mitochondrial carnitine/acylcarnitine carrier protein ,1,SLC25A20,0.9865,5.7,1892,1892,0.5,0.45
sp|O43795-2|MYO1B_HUMAN,0.278875,0.302375,Isoform 2 of Unconventional myosin-Ib ,8,MYO1B,1,10.3,392b,392,1.384875,0.681375
sp|O43809|CPSF5_HUMAN,0.0566666666666667,0.0183333333333333,Cleavage and polyadenylation specificity factor subunit 5 ,2,NUDT21,1,22.1,468a,468,0.303333333333333,0.161666666666667
sp|O43837|IDH3B_HUMAN,0.068,0.0166666666666667,Isocitrate dehydrogenase [NAD] subunit beta; mitochondrial ,3,IDH3B,1,16.6,470a,470,0.552,0.193333333333333
sp|O43852-2|CALU_HUMAN,0.0525,0.000454545454545457,Isoform 2 of Calumenin ,8,CALU,1,33.3,471b,471,0.4825,0.270454545454546
sp|O43852-3|CALU_HUMAN,0.0326098901098901,0.0268681318681319,Isoform 3 of Calumenin ,10,CALU,1,36.2,471a,471,0.499532967032967,0.28543956043956
sp|O43854-2|EDIL3_HUMAN,0.579984126984127,0.615698412698413,Isoform 2 of EGF-like repeat and discoidin I-like domain-containing protein 3 ,28,EDIL3,1,54.7,22,22,3.94712698412698,3.4502126984127
sp|O43865|SAHH2_HUMAN,0.00440476190476191,0.105714285714286,Putative adenosylhomocysteinase 2 ,8,AHCYL1,1,14.5,472a,472,0.787261904761905,0.374285714285714
sp|O43920|NDUS5_HUMAN,0.23,0.19,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 ,2,NDUFS5,1,12.3,474a,474,0.6,0.41
sp|O43933|PEX1_HUMAN,0.0925,0.015,Peroxisome biogenesis factor 1 ,3,PEX1,1,3.6,975g,975,0.4375,0.185
sp|O60234|GMFG_HUMAN,0.075,0.115,Glia maturation factor gamma ,1,GMFG,0.9865,17.2,1893,1893,0.785,0.295
sp|O60264|SMCA5_HUMAN,0.1025,0.0275,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 ,4,SMARCA5,1,6.5,475a,475,0.4725,0.1775
sp|O60293-2|ZC3H1_HUMAN,0.0333333333333333,0.00499999999999999,Isoform 2 of Zinc finger C3H1 domain-containing protein ,1,ZFC3H1,0.3166,0.9,1779b,1779,0.243333333333333,0.175
sp|O60306|AQR_HUMAN,0.11,0.165,Intron-binding protein aquarius ,1,AQR,1,2.3,477a,477,0.78,0.325
sp|O60361|NDK8_HUMAN,0.0129144385026738,0.0459893048128342,Putative nucleoside diphosphate kinase ,5,NME2P1,0.0432,0,762c,762,0.695267379679144,0.428716577540107
sp|O60487|MPZL2_HUMAN,0.465,0.17,Myelin protein zero-like protein 2 ,1,MPZL2,0.9865,6,1895,1895,1.005,1.12
sp|O60488-2|ACSL4_HUMAN,0.18,0.0975,Isoform Short of Long-chain-fatty-acid--CoA ligase 4 ,4,ACSL4,1,13.4,544b,544,0.5075,0.375
sp|O60493-4|SNX3_HUMAN,0.063,0.097,Isoform 4 of Sorting nexin-3 ,2,SNX3,0.0059,0,479d,479,0.487,0.433
sp|O60493|SNX3_HUMAN,0.063,0.097,Sorting nexin-3 ,2,SNX3,0.9999,14.2,479a,479,0.487,0.433
sp|O60506-3|HNRPQ_HUMAN,0.0421153846153846,0.00903846153846154,Isoform 3 of Heterogeneous nuclear ribonucleoprotein Q ,7,SYNCRIP,1,19.2,480a,480,0.427115384615385,0.204038461538462
sp|O60518|RNBP6_HUMAN,0.0183333333333333,0.0133333333333333,Ran-binding protein 6 ,3,RANBP6,0.999,3.4,1808,1808,0.471666666666667,0.183333333333333
sp|O60524-3|NEMF_HUMAN,0.0325,0.505,Isoform 3 of Nuclear export mediator factor NEMF ,2,NEMF,1,11.2,25,25,0.9675,0.585
sp|O60547-2|GMDS_HUMAN,0.00750000000000001,0.025,Isoform 2 of GDP-mannose 4;6 dehydratase ,1,GMDS,0.9799,2.3,2261,2261,0.6875,0.365
sp|O60568|PLOD3_HUMAN,0.0109705882352941,0.0367647058823529,Procollagen-lysine;2-oxoglutarate 5-dioxygenase 3 ,13,PLOD3,1,20.9,481a,481,0.591970588235294,0.366764705882353
sp|O60610-2|DIAP1_HUMAN,0.0675,0.0525,Isoform 2 of Protein diaphanous homolog 1 ,3,DIAPH1,1,5.4,482a,482,0.4525,0.3575
sp|O60613|SEP15_HUMAN,0.275,0.015,15 kDa selenoprotein ,1,SEP15,0.4174,4.3,3013,3013,0.865,0.755
sp|O60664-3|PLIN3_HUMAN,0.0925,0.28125,Isoform 3 of Perilipin-3 ,5,PLIN3,1,17.5,483a,483,0.67,0.57125
sp|O60684|IMA7_HUMAN,0.205,0.0675,Importin subunit alpha-7 ,3,KPNA6,1,7.3,484a,484,0.525,0.1925
sp|O60716-10|CTND1_HUMAN,0.144,0.114,Isoform 2AB of Catenin delta-1 ,7,CTNND1,1,16.2,485a,485,0.844,0.889
sp|O60732|MAGC1_HUMAN,0.1,0.115,Melanoma-associated antigen C1 ,1,MAGEC1,0.9981,1.8,1821a,1821,0.33,0.215
sp|O60762|DPM1_HUMAN,0.2125,0.066,Dolichol-phosphate mannosyltransferase subunit 1 ,6,DPM1,1,23.1,487a,487,0.4985,0.244
sp|O60763-2|USO1_HUMAN,0.1625,0.1,Isoform 2 of General vesicular transport factor p115 ,4,USO1,1,5.4,488a,488,0.6825,0.31
sp|O60814|H2B1K_HUMAN,0.0141400580551524,0.00163461538461539,Histone H2B type 1-K ,7,HIST1H2BK,1,53.2,489a,489,0.274706095791001,0.138365384615385
sp|O60832|DKC1_HUMAN,0.1275,0.075,H/ACA ribonucleoprotein complex subunit 4 ,4,DKC1,1,6.4,490a,490,0.4225,0.255
sp|O60841|IF2P_HUMAN,0.04375,0.065,Eukaryotic translation initiation factor 5B ,3,EIF5B,1,7.4,26,26,0.65625,0.285
sp|O60879-2|DIAP2_HUMAN,0,0.08,Isoform 2 of Protein diaphanous homolog 2 ,1,DIAPH2,0.9826,0.6,2215,2215,0.95,0.57
sp|O60884|DNJA2_HUMAN,0.115833333333333,0.150833333333333,DnaJ homolog subfamily A member 2 ,3,DNAJA2,1,19.4,491a,491,1.0975,0.869166666666667
sp|O60888-2|CUTA_HUMAN,0.44,0.11,Isoform A of Protein CutA ,1,CUTA,1,10.4,27,27,0.83,0.26
sp|O75054|IGSF3_HUMAN,0.193333333333333,0.155,Immunoglobulin superfamily member 3 ,4,IGSF3,1,4.4,492a,492,1.55333333333333,1.015
sp|O75083|WDR1_HUMAN,0.0106666666666667,0.0583333333333334,WD repeat-containing protein 1 ,11,WDR1,1,21.1,493a,493,0.785333333333333,0.431666666666667
sp|O75116|ROCK2_HUMAN,0.0366666666666667,0.258333333333333,Rho-associated protein kinase 2 ,2,ROCK2,1,2.5,1238c,1238,0.616666666666667,0.458333333333333
sp|O75131|CPNE3_HUMAN,0.0404464285714286,0.0290178571428572,Copine-3 ,10,CPNE3,1,18.8,1341b,1341,0.876696428571428,0.609732142857143
sp|O75157-2|T22D2_HUMAN,0.0125,0.1225,Isoform 2 of TSC22 domain family protein 2 ,1,TSC22D2,0.9773,4.9,2298,2298,0.8025,0.3775
sp|O75165|DJC13_HUMAN,0.47,0.3925,DnaJ homolog subfamily C member 13 ,3,DNAJC13,1,2.5,495a,495,0.82,0.5025
