"Protein Group","Uniprot Accession","Gene Symbol","Protein Description","ProteinProphet Probability","SVM Classification","SVM Probability","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","Unique Peptides","Coverage (%)"
62,"P13671","C6","Complement component C6 ",1,"Non-Exosome","0.741"," 1.015 +/- 0.215"," 0.021","0.608 +/- 0.012","-0.719",2,2.6
63,"P13674-2","P4HA1","Isoform 2 of Prolyl 4-hydroxylase subunit alpha-1 ",1,"Non-Exosome","0.911"," 0.425 +/- 0.022","-1.236","0.220 +/- 0.051","-2.184",10,21.5
64,"P14854","COX6B1","Cytochrome c oxidase subunit 6B1 ",1,"Non-Exosome","0.909"," 0.336 +/- 0.076","-1.572","0.251 +/- 0.021","-1.993",2,22.1
65,"P15151-2","PVR","Isoform Beta of Poliovirus receptor ",1,"Non-Exosome","0.716"," 1.125 +/- 0.225"," 0.170","0.575 +/- 0.105","-0.798",2,6.9
66,"P15954","COX7C","Cytochrome c oxidase subunit 7C; mitochondrial ",1,"Non-Exosome","0.827"," 0.300 +/- 0.080","-1.737","0.145 +/- 0.045","-2.786",1,32.1
67,"P17152","TMEM11","Transmembrane protein 11; mitochondrial ",1,"Non-Exosome","0.891"," 0.358 +/- 0.058","-1.484","0.195 +/- 0.095","-2.358",2,8.9
68,"P17931","LGALS3","Galectin-3 ",1,"Non-Exosome","0.894"," 0.492 +/- 0.048","-1.022","0.192 +/- 0.142","-2.377",1,10.3
69,"P19823","ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2 ",1,"Non-Exosome","0.911"," 0.688 +/- 0.132","-0.541","0.290 +/- 0.040","-1.786",1,3.3
70,"P20042","EIF2S2","Eukaryotic translation initiation factor 2 subunit 2 ",1,"Non-Exosome","0.927"," 0.558 +/- 0.222","-0.841","0.355 +/- 0.039","-1.493",5,20.4
71,"P20073-2","ANXA7","Isoform 2 of Annexin A7 ",1,"Non-Exosome","0.918"," 0.455 +/- 0.125","-1.136","0.445 +/- 0.035","-1.168",1,7.1
72,"P20618","PSMB1","Proteasome subunit beta type-1 ",1,"Non-Exosome","0.822"," 0.955 +/- 0.180","-0.066","0.494 +/- 0.201","-1.018",3,27.8
73,"P21266","GSTM3","Glutathione S-transferase Mu 3 ",1,"Non-Exosome","0.906"," 0.352 +/- 0.012","-1.504","0.227 +/- 0.010","-2.139",4,22.2
74,"P21912","SDHB","Succinate dehydrogenase [ubiquinone] iron-sulfur subunit; mitochondrial ",1,"Non-Exosome","0.929"," 0.503 +/- 0.164","-0.992","0.345 +/- 0.009","-1.533",6,34.6
75,"P23284","PPIB","Peptidyl-prolyl cis-trans isomerase B ",1,"Non-Exosome","0.851"," 0.367 +/- 0.025","-1.446","0.151 +/- 0.005","-2.725",12,56.9
76,"P23469-2","PTPRE","Isoform 2 of Receptor-type tyrosine-protein phosphatase epsilon ",1,"Non-Exosome","0.539"," 1.078 +/- 0.252"," 0.109","0.860 +/- 0.370","-0.218",3,4.9
77,"P23786","CPT2","Carnitine O-palmitoyltransferase 2; mitochondrial ",1,"Non-Exosome","0.647"," 0.330 +/- 0.005","-1.599","0.075 +/- 0.000","-3.737",2,4.4
78,"P24539","ATP5F1","ATP synthase F(0) complex subunit B1; mitochondrial ",1,"Non-Exosome","0.911"," 0.358 +/- 0.015","-1.483","0.240 +/- 0.026","-2.057",5,37.4
79,"P25398","RPS12","40S ribosomal protein S12 ",1,"Non-Exosome","0.926"," 0.495 +/- 0.045","-1.014","0.276 +/- 0.002","-1.859",3,20.5
80,"P25815","S100P","Protein S100-P ",1,"Non-Exosome","0.922"," 0.497 +/- 0.040","-1.010","0.255 +/- 0.082","-1.971",2,38.9
81,"P26196","DDX6","Probable ATP-dependent RNA helicase DDX6 ",1,"Non-Exosome","0.873"," 0.740 +/- 0.010","-0.434","0.518 +/- 0.128","-0.948",4,10.4
82,"P26368-2","U2AF2","Isoform 2 of Splicing factor U2AF 65 kDa subunit ",1,"Non-Exosome","0.913"," 0.628 +/- 0.055","-0.671","0.428 +/- 0.052","-1.223",2,14.3
83,"P28072","PSMB6","Proteasome subunit beta type-6 ",1,"Non-Exosome","0.890"," 0.492 +/- 0.158","-1.022","0.188 +/- 0.102","-2.415",2,8.4
84,"P28331-2","NDUFS1","Isoform 2 of NADH-ubiquinone oxidoreductase 75 kDa subunit; mitochondrial ",1,"Non-Exosome","0.920"," 0.466 +/- 0.120","-1.102","0.245 +/- 0.064","-2.029",6,13.1
85,"P29144","TPP2","Tripeptidyl-peptidase 2 ",1,"Non-Exosome","0.789"," 1.005 +/- 0.185"," 0.007","0.185 +/- 0.065","-2.434",2,1.8
86,"P29966","MARCKS","Myristoylated alanine-rich C-kinase substrate ",1,"Non-Exosome","0.508"," 1.023 +/- 0.266"," 0.032","0.956 +/- 0.264","-0.065",3,36.1
87,"P30041","PRDX6","Peroxiredoxin-6 ",1,"Non-Exosome","0.918"," 0.650 +/- 0.083","-0.621","0.354 +/- 0.082","-1.500",12,42.9
88,"P30049","ATP5D","ATP synthase subunit delta; mitochondrial ",1,"Non-Exosome","0.760"," 0.180 +/- 0.050","-2.474","0.465 +/- 0.345","-1.105",2,17.9
89,"P30084","ECHS1","Enoyl-CoA hydratase; mitochondrial ",1,"Non-Exosome","0.905"," 0.528 +/- 0.212","-0.923","0.213 +/- 0.015","-2.233",4,26.6
90,"P30086","PEBP1","Phosphatidylethanolamine-binding protein 1 ",1,"Non-Exosome","0.900"," 0.762 +/- 0.292","-0.391","0.295 +/- 0.075","-1.761",2,15.5
91,"P30530-2","AXL","Isoform Short of Tyrosine-protein kinase receptor UFO ",1,"Non-Exosome","0.873"," 0.285 +/- 0.035","-1.811","0.460 +/- 0.070","-1.120",2,4.2
92,"P30533","LRPAP1","Alpha-2-macroglobulin receptor-associated protein ",1,"Non-Exosome","0.914"," 0.346 +/- 0.004","-1.530","0.269 +/- 0.064","-1.893",3,10.4
93,"P30536","TSPO","Translocator protein ",1,"Non-Exosome","0.842"," 0.402 +/- 0.122","-1.313","0.144 +/- 0.000","-2.799",4,43
94,"P31930","UQCRC1","Cytochrome b-c1 complex subunit 1; mitochondrial ",1,"Non-Exosome","0.877"," 0.820 +/- 0.075","-0.287","0.440 +/- 0.142","-1.185",6,20.2
95,"P31937","HIBADH","3-hydroxyisobutyrate dehydrogenase; mitochondrial ",1,"Non-Exosome","0.856"," 0.229 +/- 0.149","-2.128","0.254 +/- 0.034","-1.979",3,9.8
96,"P31949","S100A11","Protein S100-A11 ",1,"Non-Exosome","0.921"," 0.507 +/- 0.083","-0.981","0.252 +/- 0.098","-1.986",1,17.1
97,"P33552","CKS2","Cyclin-dependent kinases regulatory subunit 2 ",1,"Non-Exosome","0.874"," 0.698 +/- 0.122","-0.520","0.542 +/- 0.188","-0.882",2,24.1
98,"P35268","RPL22","60S ribosomal protein L22 ",1,"Non-Exosome","0.920"," 0.362 +/- 0.272","-1.467","0.335 +/- 0.305","-1.578",1,27.7
99,"P35367","HRH1","Histamine H1 receptor ",1,"Non-Exosome","0.699"," 0.952 +/- 0.522","-0.070","0.715 +/- 0.005","-0.484",2,6.2
100,"P36542-2","ATP5C1","Isoform Heart of ATP synthase subunit gamma; mitochondrial ",1,"Non-Exosome","0.903"," 0.360 +/- 0.010","-1.476","0.218 +/- 0.036","-2.201",7,39.2
101,"P37802-2","TAGLN2","Isoform 2 of Transgelin-2 ",1,"Non-Exosome","0.883"," 0.782 +/- 0.142","-0.354","0.449 +/- 0.081","-1.154",6,34.8
102,"P40222","TXLNA","Alpha-taxilin ",1,"Non-Exosome","0.693"," 0.998 +/- 0.062","-0.004","0.692 +/- 0.082","-0.530",2,4.2
103,"P42766","RPL35","60S ribosomal protein L35 ",1,"Non-Exosome","0.855"," 0.342 +/- 0.018","-1.546","0.158 +/- 0.002","-2.667",1,18.8
104,"P42892-2","ECE1","Isoform A of Endothelin-converting enzyme 1 ",1,"Exosome","0.777"," 1.720 +/- 1.160"," 0.782","1.098 +/- 0.702"," 0.135",3,7.9
105,"P45954","ACADSB","Short/branched chain specific acyl-CoA dehydrogenase; mitochondrial ",1,"Non-Exosome","0.917"," 0.652 +/- 0.088","-0.616","0.365 +/- 0.015","-1.454",3,10.3
106,"P45974-2","USP5","Isoform Short of Ubiquitin carboxyl-terminal hydrolase 5 ",1,"Non-Exosome","0.912"," 0.406 +/- 0.077","-1.301","0.225 +/- 0.071","-2.149",5,7.8
107,"P46013-2","MKI67","Isoform Short of Antigen KI-67 ",1,"Non-Exosome","0.805"," 0.332 +/- 0.088","-1.589","0.128 +/- 0.038","-2.971",3,2.8
108,"P46199","MTIF2","Translation initiation factor IF-2; mitochondrial ",1,"Non-Exosome","0.770"," 0.325 +/- 0.035","-1.621","0.112 +/- 0.068","-3.152",2,3.3
109,"P46782","RPS5","40S ribosomal protein S5 ",1,"Non-Exosome","0.891"," 0.392 +/- 0.082","-1.352","0.188 +/- 0.028","-2.409",2,23.9
110,"P46783","RPS10","40S ribosomal protein S10 ",1,"Non-Exosome","0.860"," 0.318 +/- 0.015","-1.651","0.167 +/- 0.003","-2.585",1,12.7
111,"P47914","RPL29","60S ribosomal protein L29 ",1,"Non-Exosome","0.848"," 0.360 +/- 0.000","-1.474","0.150 +/- 0.080","-2.737",1,14.5
112,"P48960-2","CD97","Isoform 2 of CD97 antigen ",1,"Exosome","0.566"," 1.253 +/- 0.313"," 0.326","0.898 +/- 0.232","-0.155",2,6.5
113,"P49207","RPL34","60S ribosomal protein L34 ",1,"Non-Exosome","0.831"," 0.312 +/- 0.042","-1.682","0.145 +/- 0.035","-2.786",1,6.8
114,"P49257","LMAN1","Protein ERGIC-53 ",1,"Non-Exosome","0.926"," 0.429 +/- 0.066","-1.221","0.282 +/- 0.063","-1.827",5,14.9
115,"P49589-2","CARS","Isoform 2 of Cysteine--tRNA ligase; cytoplasmic ",1,"Non-Exosome","0.907"," 0.576 +/- 0.171","-0.796","0.227 +/- 0.097","-2.141",3,6.5
116,"P49591","SARS","Serine--tRNA ligase; cytoplasmic ",1,"Non-Exosome","0.917"," 0.634 +/- 0.159","-0.658","0.282 +/- 0.080","-1.824",4,12.5
117,"P50748","KNTC1","Kinetochore-associated protein 1 ",1,"Non-Exosome","0.865"," 0.860 +/- 0.560","-0.218","0.240 +/- 0.030","-2.059",1,1.3
118,"P50895","BCAM","Basal cell adhesion molecule ",1,"Non-Exosome","0.846"," 0.990 +/- 0.530","-0.014","0.385 +/- 0.165","-1.377",2,5.7
119,"P50914","RPL14","60S ribosomal protein L14 ",1,"Non-Exosome","0.826"," 0.755 +/- 0.210","-0.405","0.627 +/- 0.062","-0.674",3,42.7
120,"P51858-2","HDGF","Isoform 2 of Hepatoma-derived growth factor ",1,"Non-Exosome","0.903"," 0.745 +/- 0.015","-0.425","0.370 +/- 0.190","-1.434",2,16.3
121,"P51991-2","HNRNPA3","Isoform 2 of Heterogeneous nuclear ribonucleoprotein A3 ",1,"Non-Exosome","0.869"," 0.300 +/- 0.007","-1.738","0.184 +/- 0.001","-2.446",5,13.2
122,"P52732","KIF11","Kinesin-like protein KIF11 ",1,"Non-Exosome","0.881"," 0.312 +/- 0.002","-1.678","0.195 +/- 0.085","-2.358",2,4.6
123,"P53004","BLVRA","Biliverdin reductase A ",1,"Non-Exosome","0.749"," 0.275 +/- 0.045","-1.862","0.110 +/- 0.040","-3.184",2,6.4
124,"P53701","HCCS","Cytochrome c-type heme lyase ",1,"Non-Exosome","0.856"," 0.550 +/- 0.070","-0.862","0.160 +/- 0.010","-2.644",2,6
125,"P53794","SLC5A3","Sodium/myo-inositol cotransporter ",1,"Non-Exosome","0.647"," 1.200 +/- 0.250"," 0.263","0.633 +/- 0.027","-0.659",1,3.9
126,"P54577","YARS","Tyrosine--tRNA ligase; cytoplasmic ",1,"Non-Exosome","0.924"," 0.415 +/- 0.017","-1.268","0.274 +/- 0.036","-1.865",7,18.9
127,"P54886-2","ALDH18A1","Isoform Short of Delta-1-pyrroline-5-carboxylate synthase ",1,"Non-Exosome","0.924"," 0.396 +/- 0.136","-1.335","0.290 +/- 0.100","-1.788",7,11.2
128,"P55010","EIF5","Eukaryotic translation initiation factor 5 ",1,"Non-Exosome","0.672"," 0.777 +/- 0.197","-0.365","0.894 +/- 0.251","-0.161",2,8.8
129,"P55265-2","ADAR","Isoform 2 of Double-stranded RNA-specific adenosine deaminase ",1,"Non-Exosome","0.877"," 0.325 +/- 0.075","-1.621","0.183 +/- 0.003","-2.447",4,6.9
130,"P55769","NHP2L1","NHP2-like protein 1 ",1,"Non-Exosome","0.912"," 0.431 +/- 0.091","-1.213","0.223 +/- 0.073","-2.162",4,39.8
131,"P56182","RRP1","Ribosomal RNA processing protein 1 homolog A ",1,"Non-Exosome","0.835"," 0.292 +/- 0.062","-1.773","0.152 +/- 0.052","-2.713",2,4.1
132,"P56381","ATP5E","ATP synthase subunit epsilon; mitochondrial ",1,"Non-Exosome","0.902"," 0.358 +/- 0.082","-1.481","0.214 +/- 0.031","-2.223",2,29.4
133,"P56385","ATP5I","ATP synthase subunit e; mitochondrial ",1,"Non-Exosome","0.908"," 0.704 +/- 0.374","-0.507","0.286 +/- 0.136","-1.805",2,31.9
134,"P56556","NDUFA6","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 ",1,"Non-Exosome","0.859"," 0.298 +/- 0.068","-1.749","0.172 +/- 0.082","-2.535",2,22.5
135,"P60903","S100A10","Protein S100-A10 ",1,"Non-Exosome","0.891"," 0.397 +/- 0.033","-1.334","0.187 +/- 0.071","-2.416",3,34
136,"P60981-2","DSTN","Isoform 2 of Destrin ",1,"Non-Exosome","0.924"," 0.592 +/- 0.011","-0.757","0.352 +/- 0.026","-1.505",4,25.9
137,"P61009","SPCS3","Signal peptidase complex subunit 3 ",1,"Exosome","0.853"," 2.570 +/- 1.915"," 1.362","1.260 +/- 1.030"," 0.333",2,15.6
138,"P61011-2","SRP54","Isoform 2 of Signal recognition particle 54 kDa protein ",1,"Non-Exosome","0.922"," 0.622 +/- 0.142","-0.686","0.322 +/- 0.062","-1.636",3,5.7
139,"P61769","B2M","Beta-2-microglobulin ",1,"Non-Exosome","0.590"," 1.067 +/- 0.192"," 0.094","0.794 +/- 0.199","-0.332",2,28.2
140,"P62314","SNRPD1","Small nuclear ribonucleoprotein Sm D1 ",1,"Non-Exosome","0.921"," 0.374 +/- 0.019","-1.418","0.362 +/- 0.032","-1.467",2,17.3
141,"P62318","SNRPD3","Small nuclear ribonucleoprotein Sm D3 ",1,"Non-Exosome","0.622"," 1.346 +/- 0.596"," 0.428","0.583 +/- 0.094","-0.779",2,15.8
142,"P62330","ARF6","ADP-ribosylation factor 6 ",1,NA,"0.500"," 1.234 +/- 0.097"," 0.304","0.808 +/- 0.291","-0.308",2,14.9
143,"P62854","RPS26","40S ribosomal protein S26 ",1,"Non-Exosome","0.912"," 0.438 +/- 0.038","-1.190","0.222 +/- 0.045","-2.171",3,31.3
144,"P62857","RPS28","40S ribosomal protein S28 ",1,"Non-Exosome","0.906"," 0.730 +/- 0.040","-0.454","0.369 +/- 0.059","-1.439",2,30.4
145,"P62861","FAU","40S ribosomal protein S30 ",1,"Non-Exosome","0.919"," 0.583 +/- 0.057","-0.778","0.265 +/- 0.025","-1.916",1,16.9
146,"P62906","RPL10A","60S ribosomal protein L10a ",1,"Non-Exosome","0.897"," 0.405 +/- 0.054","-1.305","0.195 +/- 0.038","-2.355",6,27.6
147,"P62995-3","TRA2B","Isoform 3 of Transformer-2 protein homolog beta ",1,"Non-Exosome","0.847"," 0.307 +/- 0.010","-1.705","0.158 +/- 0.072","-2.659",1,15.9
148,"P63218","GNG5","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 ",1,"Non-Exosome","0.701"," 1.083 +/- 0.122"," 0.114","0.625 +/- 0.235","-0.678",1,23.5
149,"P63279","UBE2I","SUMO-conjugating enzyme UBC9 ",1,"Non-Exosome","0.653"," 1.070 +/- 0.110"," 0.098","0.702 +/- 0.132","-0.509",2,50
150,"P67870","CSNK2B","Casein kinase II subunit beta ",1,"Non-Exosome","0.904"," 0.549 +/- 0.011","-0.866","0.214 +/- 0.071","-2.223",3,15.3
151,"P68036-2","UBE2L3","Isoform 2 of Ubiquitin-conjugating enzyme E2 L3 ",1,"Non-Exosome","0.843"," 0.772 +/- 0.022","-0.372","0.575 +/- 0.025","-0.798",3,16.4
152,"P82650","MRPS22","28S ribosomal protein S22; mitochondrial ",1,"Non-Exosome","0.787"," 0.208 +/- 0.118","-2.269","0.160 +/- 0.120","-2.644",2,12.4
