"Uniprot Accession","Protein Description","Gene Symbol","Protein Group","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","SVM Classification","SVM Probability"
"P20042","Eukaryotic translation initiation factor 2 subunit 2 ","EIF2S2",70," 0.558 +/- 0.222","-0.841","0.355 +/- 0.039","-1.493","Non-Exosome","0.926"
"P20073-2","Isoform 2 of Annexin A7 ","ANXA7",71," 0.455 +/- 0.125","-1.136","0.445 +/- 0.035","-1.168","Non-Exosome","0.917"
"P20618","Proteasome subunit beta type-1 ","PSMB1",72," 0.955 +/- 0.180","-0.066","0.494 +/- 0.201","-1.018","Non-Exosome","0.821"
"P21266","Glutathione S-transferase Mu 3 ","GSTM3",73," 0.352 +/- 0.012","-1.504","0.227 +/- 0.010","-2.139","Non-Exosome","0.905"
"P21912","Succinate dehydrogenase [ubiquinone] iron-sulfur subunit; mitochondrial ","SDHB",74," 0.503 +/- 0.164","-0.992","0.345 +/- 0.009","-1.533","Non-Exosome","0.929"
"P23284","Peptidyl-prolyl cis-trans isomerase B ","PPIB",75," 0.367 +/- 0.025","-1.446","0.151 +/- 0.005","-2.725","Non-Exosome","0.850"
"P23469-2","Isoform 2 of Receptor-type tyrosine-protein phosphatase epsilon ","PTPRE",76," 1.078 +/- 0.252"," 0.109","0.860 +/- 0.370","-0.218","Non-Exosome","0.539"
"P23786","Carnitine O-palmitoyltransferase 2; mitochondrial ","CPT2",77," 0.330 +/- 0.005","-1.599","0.075 +/- 0.000","-3.737","Non-Exosome","0.646"
"P24539","ATP synthase F(0) complex subunit B1; mitochondrial ","ATP5F1",78," 0.358 +/- 0.015","-1.483","0.240 +/- 0.026","-2.057","Non-Exosome","0.910"
"P25398","40S ribosomal protein S12 ","RPS12",79," 0.495 +/- 0.045","-1.014","0.276 +/- 0.002","-1.859","Non-Exosome","0.925"
"P25815","Protein S100-P ","S100P",80," 0.497 +/- 0.040","-1.010","0.255 +/- 0.082","-1.971","Non-Exosome","0.921"
"P26196","Probable ATP-dependent RNA helicase DDX6 ","DDX6",81," 0.740 +/- 0.010","-0.434","0.518 +/- 0.128","-0.948","Non-Exosome","0.872"
"P26368-2","Isoform 2 of Splicing factor U2AF 65 kDa subunit ","U2AF2",82," 0.628 +/- 0.055","-0.671","0.428 +/- 0.052","-1.223","Non-Exosome","0.912"
"P28072","Proteasome subunit beta type-6 ","PSMB6",83," 0.492 +/- 0.158","-1.022","0.188 +/- 0.102","-2.415","Non-Exosome","0.890"
"P28331-2","Isoform 2 of NADH-ubiquinone oxidoreductase 75 kDa subunit; mitochondrial ","NDUFS1",84," 0.466 +/- 0.120","-1.102","0.245 +/- 0.064","-2.029","Non-Exosome","0.919"
"P29144","Tripeptidyl-peptidase 2 ","TPP2",85," 1.005 +/- 0.185"," 0.007","0.185 +/- 0.065","-2.434","Non-Exosome","0.788"
"P29966","Myristoylated alanine-rich C-kinase substrate ","MARCKS",86," 1.023 +/- 0.266"," 0.032","0.956 +/- 0.264","-0.065","Non-Exosome","0.508"
"P30041","Peroxiredoxin-6 ","PRDX6",87," 0.650 +/- 0.083","-0.621","0.354 +/- 0.082","-1.500","Non-Exosome","0.918"
"P30049","ATP synthase subunit delta; mitochondrial ","ATP5D",88," 0.180 +/- 0.050","-2.474","0.465 +/- 0.345","-1.105","Non-Exosome","0.759"
"P30084","Enoyl-CoA hydratase; mitochondrial ","ECHS1",89," 0.528 +/- 0.212","-0.923","0.213 +/- 0.015","-2.233","Non-Exosome","0.904"
"P30086","Phosphatidylethanolamine-binding protein 1 ","PEBP1",90," 0.762 +/- 0.292","-0.391","0.295 +/- 0.075","-1.761","Non-Exosome","0.899"
"P30530-2","Isoform Short of Tyrosine-protein kinase receptor UFO ","AXL",91," 0.285 +/- 0.035","-1.811","0.460 +/- 0.070","-1.120","Non-Exosome","0.873"
"P30533","Alpha-2-macroglobulin receptor-associated protein ","LRPAP1",92," 0.346 +/- 0.004","-1.530","0.269 +/- 0.064","-1.893","Non-Exosome","0.914"
"P30536","Translocator protein ","TSPO",93," 0.402 +/- 0.122","-1.313","0.144 +/- 0.000","-2.799","Non-Exosome","0.841"
"P31930","Cytochrome b-c1 complex subunit 1; mitochondrial ","UQCRC1",94," 0.820 +/- 0.075","-0.287","0.440 +/- 0.142","-1.185","Non-Exosome","0.876"
"P31937","3-hydroxyisobutyrate dehydrogenase; mitochondrial ","HIBADH",95," 0.229 +/- 0.149","-2.128","0.254 +/- 0.034","-1.979","Non-Exosome","0.855"
"P31949","Protein S100-A11 ","S100A11",96," 0.507 +/- 0.083","-0.981","0.252 +/- 0.098","-1.986","Non-Exosome","0.920"
"P33552","Cyclin-dependent kinases regulatory subunit 2 ","CKS2",97," 0.698 +/- 0.122","-0.520","0.542 +/- 0.188","-0.882","Non-Exosome","0.873"
"P35268","60S ribosomal protein L22 ","RPL22",98," 0.362 +/- 0.272","-1.467","0.335 +/- 0.305","-1.578","Non-Exosome","0.919"
"P35367","Histamine H1 receptor ","HRH1",99," 0.952 +/- 0.522","-0.070","0.715 +/- 0.005","-0.484","Non-Exosome","0.698"
"P36542-2","Isoform Heart of ATP synthase subunit gamma; mitochondrial ","ATP5C1",100," 0.360 +/- 0.010","-1.476","0.218 +/- 0.036","-2.201","Non-Exosome","0.903"
"P37802-2","Isoform 2 of Transgelin-2 ","TAGLN2",101," 0.782 +/- 0.142","-0.354","0.449 +/- 0.081","-1.154","Non-Exosome","0.882"
"P40222","Alpha-taxilin ","TXLNA",102," 0.998 +/- 0.062","-0.004","0.692 +/- 0.082","-0.530","Non-Exosome","0.693"
"P42766","60S ribosomal protein L35 ","RPL35",103," 0.342 +/- 0.018","-1.546","0.158 +/- 0.002","-2.667","Non-Exosome","0.854"
"P42892-2","Isoform A of Endothelin-converting enzyme 1 ","ECE1",104," 1.720 +/- 1.160"," 0.782","1.098 +/- 0.702"," 0.135","Exosome","0.777"
"P45954","Short/branched chain specific acyl-CoA dehydrogenase; mitochondrial ","ACADSB",105," 0.652 +/- 0.088","-0.616","0.365 +/- 0.015","-1.454","Non-Exosome","0.917"
"P45974-2","Isoform Short of Ubiquitin carboxyl-terminal hydrolase 5 ","USP5",106," 0.406 +/- 0.077","-1.301","0.225 +/- 0.071","-2.149","Non-Exosome","0.911"
"P46013-2","Isoform Short of Antigen KI-67 ","MKI67",107," 0.332 +/- 0.088","-1.589","0.128 +/- 0.038","-2.971","Non-Exosome","0.804"
"P46199","Translation initiation factor IF-2; mitochondrial ","MTIF2",108," 0.325 +/- 0.035","-1.621","0.112 +/- 0.068","-3.152","Non-Exosome","0.769"
"P46782","40S ribosomal protein S5 ","RPS5",109," 0.392 +/- 0.082","-1.352","0.188 +/- 0.028","-2.409","Non-Exosome","0.890"
"P46783","40S ribosomal protein S10 ","RPS10",110," 0.318 +/- 0.015","-1.651","0.167 +/- 0.003","-2.585","Non-Exosome","0.859"
"P47914","60S ribosomal protein L29 ","RPL29",111," 0.360 +/- 0.000","-1.474","0.150 +/- 0.080","-2.737","Non-Exosome","0.847"
"P48960-2","Isoform 2 of CD97 antigen ","CD97",112," 1.253 +/- 0.313"," 0.326","0.898 +/- 0.232","-0.155","Exosome","0.566"
"P49207","60S ribosomal protein L34 ","RPL34",113," 0.312 +/- 0.042","-1.682","0.145 +/- 0.035","-2.786","Non-Exosome","0.830"
"P49257","Protein ERGIC-53 ","LMAN1",114," 0.429 +/- 0.066","-1.221","0.282 +/- 0.063","-1.827","Non-Exosome","0.925"
"P49589-2","Isoform 2 of Cysteine--tRNA ligase; cytoplasmic ","CARS",115," 0.576 +/- 0.171","-0.796","0.227 +/- 0.097","-2.141","Non-Exosome","0.906"
"P49591","Serine--tRNA ligase; cytoplasmic ","SARS",116," 0.634 +/- 0.159","-0.658","0.282 +/- 0.080","-1.824","Non-Exosome","0.916"
"P50748","Kinetochore-associated protein 1 ","KNTC1",117," 0.860 +/- 0.560","-0.218","0.240 +/- 0.030","-2.059","Non-Exosome","0.864"
"P50895","Basal cell adhesion molecule ","BCAM",118," 0.990 +/- 0.530","-0.014","0.385 +/- 0.165","-1.377","Non-Exosome","0.845"
"P50914","60S ribosomal protein L14 ","RPL14",119," 0.755 +/- 0.210","-0.405","0.627 +/- 0.062","-0.674","Non-Exosome","0.825"
"P51858-2","Isoform 2 of Hepatoma-derived growth factor ","HDGF",120," 0.745 +/- 0.015","-0.425","0.370 +/- 0.190","-1.434","Non-Exosome","0.903"
"P51991-2","Isoform 2 of Heterogeneous nuclear ribonucleoprotein A3 ","HNRNPA3",121," 0.300 +/- 0.007","-1.738","0.184 +/- 0.001","-2.446","Non-Exosome","0.868"
"P52732","Kinesin-like protein KIF11 ","KIF11",122," 0.312 +/- 0.002","-1.678","0.195 +/- 0.085","-2.358","Non-Exosome","0.880"
"P53004","Biliverdin reductase A ","BLVRA",123," 0.275 +/- 0.045","-1.862","0.110 +/- 0.040","-3.184","Non-Exosome","0.748"
"P53701","Cytochrome c-type heme lyase ","HCCS",124," 0.550 +/- 0.070","-0.862","0.160 +/- 0.010","-2.644","Non-Exosome","0.855"
"P53794","Sodium/myo-inositol cotransporter ","SLC5A3",125," 1.200 +/- 0.250"," 0.263","0.633 +/- 0.027","-0.659","Non-Exosome","0.646"
"P54577","Tyrosine--tRNA ligase; cytoplasmic ","YARS",126," 0.415 +/- 0.017","-1.268","0.274 +/- 0.036","-1.865","Non-Exosome","0.924"
"P54886-2","Isoform Short of Delta-1-pyrroline-5-carboxylate synthase ","ALDH18A1",127," 0.396 +/- 0.136","-1.335","0.290 +/- 0.100","-1.788","Non-Exosome","0.924"
"P55010","Eukaryotic translation initiation factor 5 ","EIF5",128," 0.777 +/- 0.197","-0.365","0.894 +/- 0.251","-0.161","Non-Exosome","0.671"
"P55265-2","Isoform 2 of Double-stranded RNA-specific adenosine deaminase ","ADAR",129," 0.325 +/- 0.075","-1.621","0.183 +/- 0.003","-2.447","Non-Exosome","0.876"
"P55769","NHP2-like protein 1 ","NHP2L1",130," 0.431 +/- 0.091","-1.213","0.223 +/- 0.073","-2.162","Non-Exosome","0.912"
"P56182","Ribosomal RNA processing protein 1 homolog A ","RRP1",131," 0.292 +/- 0.062","-1.773","0.152 +/- 0.052","-2.713","Non-Exosome","0.834"
"P56381","ATP synthase subunit epsilon; mitochondrial ","ATP5E",132," 0.358 +/- 0.082","-1.481","0.214 +/- 0.031","-2.223","Non-Exosome","0.901"
"P56385","ATP synthase subunit e; mitochondrial ","ATP5I",133," 0.704 +/- 0.374","-0.507","0.286 +/- 0.136","-1.805","Non-Exosome","0.907"
"P56556","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 ","NDUFA6",134," 0.298 +/- 0.068","-1.749","0.172 +/- 0.082","-2.535","Non-Exosome","0.858"
"P60903","Protein S100-A10 ","S100A10",135," 0.397 +/- 0.033","-1.334","0.187 +/- 0.071","-2.416","Non-Exosome","0.890"
"P60981-2","Isoform 2 of Destrin ","DSTN",136," 0.592 +/- 0.011","-0.757","0.352 +/- 0.026","-1.505","Non-Exosome","0.924"
"P61009","Signal peptidase complex subunit 3 ","SPCS3",137," 2.570 +/- 1.915"," 1.362","1.260 +/- 1.030"," 0.333","Exosome","0.853"
"P61011-2","Isoform 2 of Signal recognition particle 54 kDa protein ","SRP54",138," 0.622 +/- 0.142","-0.686","0.322 +/- 0.062","-1.636","Non-Exosome","0.921"
"P61769","Beta-2-microglobulin ","B2M",139," 1.067 +/- 0.192"," 0.094","0.794 +/- 0.199","-0.332","Non-Exosome","0.589"
"P62314","Small nuclear ribonucleoprotein Sm D1 ","SNRPD1",140," 0.374 +/- 0.019","-1.418","0.362 +/- 0.032","-1.467","Non-Exosome","0.920"
"P62318","Small nuclear ribonucleoprotein Sm D3 ","SNRPD3",141," 1.346 +/- 0.596"," 0.428","0.583 +/- 0.094","-0.779","Non-Exosome","0.621"
"P62330","ADP-ribosylation factor 6 ","ARF6",142," 1.234 +/- 0.097"," 0.304","0.808 +/- 0.291","-0.308",NA,"0.500"
"P62854","40S ribosomal protein S26 ","RPS26",143," 0.438 +/- 0.038","-1.190","0.222 +/- 0.045","-2.171","Non-Exosome","0.911"
"P62857","40S ribosomal protein S28 ","RPS28",144," 0.730 +/- 0.040","-0.454","0.369 +/- 0.059","-1.439","Non-Exosome","0.905"
"P62861","40S ribosomal protein S30 ","FAU",145," 0.583 +/- 0.057","-0.778","0.265 +/- 0.025","-1.916","Non-Exosome","0.918"
"P62906","60S ribosomal protein L10a ","RPL10A",146," 0.405 +/- 0.054","-1.305","0.195 +/- 0.038","-2.355","Non-Exosome","0.896"
"P62995-3","Isoform 3 of Transformer-2 protein homolog beta ","TRA2B",147," 0.307 +/- 0.010","-1.705","0.158 +/- 0.072","-2.659","Non-Exosome","0.846"
"P63218","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 ","GNG5",148," 1.083 +/- 0.122"," 0.114","0.625 +/- 0.235","-0.678","Non-Exosome","0.700"
"P63279","SUMO-conjugating enzyme UBC9 ","UBE2I",149," 1.070 +/- 0.110"," 0.098","0.702 +/- 0.132","-0.509","Non-Exosome","0.652"
"P67870","Casein kinase II subunit beta ","CSNK2B",150," 0.549 +/- 0.011","-0.866","0.214 +/- 0.071","-2.223","Non-Exosome","0.903"
"P68036-2","Isoform 2 of Ubiquitin-conjugating enzyme E2 L3 ","UBE2L3",151," 0.772 +/- 0.022","-0.372","0.575 +/- 0.025","-0.798","Non-Exosome","0.843"
"P82650","28S ribosomal protein S22; mitochondrial ","MRPS22",152," 0.208 +/- 0.118","-2.269","0.160 +/- 0.120","-2.644","Non-Exosome","0.786"
"P82933","28S ribosomal protein S9; mitochondrial ","MRPS9",153," 0.248 +/- 0.058","-2.014","0.132 +/- 0.052","-2.916","Non-Exosome","0.781"
"P82979","SAP domain-containing ribonucleoprotein ","SARNP",154," 0.305 +/- 0.045","-1.713","0.060 +/- 0.000","-4.059","Non-Exosome","0.585"
"P83731","60S ribosomal protein L24 ","RPL24",155," 0.350 +/- 0.025","-1.515","0.160 +/- 0.028","-2.647","Non-Exosome","0.858"
"P84103","Serine/arginine-rich splicing factor 3 ","SRSF3",156," 0.413 +/- 0.017","-1.275","0.334 +/- 0.096","-1.582","Non-Exosome","0.926"
"P99999","Cytochrome c ","CYCS",157," 0.547 +/- 0.000","-0.871","0.325 +/- 0.085","-1.621","Non-Exosome","0.927"
"Q01130","Serine/arginine-rich splicing factor 2 ","SRSF2",158," 0.275 +/- 0.002","-1.862","0.112 +/- 0.025","-3.163","Non-Exosome","0.752"
"Q03252","Lamin-B2 ","LMNB2",159," 0.383 +/- 0.077","-1.383","0.155 +/- 0.055","-2.690","Non-Exosome","0.856"
"Q04323-2","Isoform 2 of UBX domain-containing protein 1 ","UBXN1",160," 0.700 +/- 0.010","-0.515","0.395 +/- 0.035","-1.340","Non-Exosome","0.907"
"Q04760-2","Isoform 2 of Lactoylglutathione lyase ","GLO1",161," 0.635 +/- 0.082","-0.656","0.369 +/- 0.004","-1.438","Non-Exosome","0.919"
"Q06830","Peroxiredoxin-1 ","PRDX1",162," 0.508 +/- 0.010","-0.978","0.263 +/- 0.001","-1.927","Non-Exosome","0.923"
"Q12765-2","Isoform 2 of Secernin-1 ","SCRN1",163," 0.462 +/- 0.022","-1.112","0.315 +/- 0.105","-1.667","Non-Exosome","0.929"
"Q13131-2","Isoform 2 of 5'-AMP-activated protein kinase catalytic subunit alpha-1 ","PRKAA1",164," 0.562 +/- 0.152","-0.832","0.407 +/- 0.277","-1.298","Non-Exosome","0.921"
"Q13151","Heterogeneous nuclear ribonucleoprotein A0 ","HNRNPA0",165," 0.226 +/- 0.024","-2.148","0.108 +/- 0.024","-3.211","Non-Exosome","0.716"
"Q13217","DnaJ homolog subfamily C member 3 ","DNAJC3",166," 0.245 +/- 0.065","-2.029","0.075 +/- 0.005","-3.737","Non-Exosome","0.630"
"Q13641","Trophoblast glycoprotein ","TPBG",167," 0.834 +/- 0.056","-0.263","0.524 +/- 0.102","-0.933","Non-Exosome","0.846"
"Q13753-2","Isoform Short of Laminin subunit gamma-2 ","LAMC2",168," 0.652 +/- 0.312","-0.618","0.368 +/- 0.148","-1.441","Non-Exosome","0.917"
"Q14116-2","Isoform 2 of Interleukin-18 ","IL18",169," 0.518 +/- 0.028","-0.950","0.155 +/- 0.075","-2.690","Non-Exosome","0.852"
"Q14126","Desmoglein-2 ","DSG2",170," 1.081 +/- 0.444"," 0.112","0.734 +/- 0.316","-0.446","Non-Exosome","0.627"
