"Uniprot Accession","Gene Name","Description","Gene Ontology Classifications","SVM Classification"
"P12109","COL6A1","Collagen alpha-1(VI) chain ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Non-Exosome"
"P12259","F5","Coagulation factor V ","GO:0005886 Plasma Membrane","Non-Exosome"
"P13473-2","LAMP2","Isoform LAMP-2B of Lysosome-associated membrane glycoprotein 2 ","GO:0031090 Organelle Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P13639","EEF2","Elongation factor 2 ","","Non-Exosome"
"P13671","C6","Complement component C6 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P13674-2","P4HA1","Isoform 2 of Prolyl 4-hydroxylase subunit alpha-1 ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"P14854","COX6B1","Cytochrome c oxidase subunit 6B1 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P15151-2","PVR","Isoform Beta of Poliovirus receptor ","GO:0005886 Plasma Membrane","Non-Exosome"
"P15954","COX7C","Cytochrome c oxidase subunit 7C; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P17152","TMEM11","Transmembrane protein 11; mitochondrial ","GO:0005886 Plasma Membrane","Non-Exosome"
"P17931","LGALS3","Galectin-3 ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Non-Exosome"
"P19823","ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2 ","","Non-Exosome"
"P20042","EIF2S2","Eukaryotic translation initiation factor 2 subunit 2 ","GO:0005829 Cytosol","Non-Exosome"
"P20073-2","ANXA7","Isoform 2 of Annexin A7 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P20618","PSMB1","Proteasome subunit beta type-1 ","GO:0005829 Cytosol","Non-Exosome"
"P21266","GSTM3","Glutathione S-transferase Mu 3 ","","Non-Exosome"
"P21912","SDHB","Succinate dehydrogenase [ubiquinone] iron-sulfur subunit; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P23284","PPIB","Peptidyl-prolyl cis-trans isomerase B ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"P23469-2","PTPRE","Isoform 2 of Receptor-type tyrosine-protein phosphatase epsilon ","GO:0005886 Plasma Membrane","Non-Exosome"
"P23786","CPT2","Carnitine O-palmitoyltransferase 2; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P24539","ATP5F1","ATP synthase F(0) complex subunit B1; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P25398","RPS12","40S ribosomal protein S12 ","GO:0005829 Cytosol","Non-Exosome"
"P25815","S100P","Protein S100-P ","","Non-Exosome"
"P26196","DDX6","Probable ATP-dependent RNA helicase DDX6 ","","Non-Exosome"
"P26368-2","U2AF2","Isoform 2 of Splicing factor U2AF 65 kDa subunit ","","Non-Exosome"
"P28072","PSMB6","Proteasome subunit beta type-6 ","GO:0005829 Cytosol","Non-Exosome"
"P28331-2","NDUFS1","Isoform 2 of NADH-ubiquinone oxidoreductase 75 kDa subunit; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P29144","TPP2","Tripeptidyl-peptidase 2 ","","Non-Exosome"
"P29966","MARCKS","Myristoylated alanine-rich C-kinase substrate ","","Non-Exosome"
"P30041","PRDX6","Peroxiredoxin-6 ","GO:0005829 Cytosol","Non-Exosome"
"P30049","ATP5D","ATP synthase subunit delta; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P30084","ECHS1","Enoyl-CoA hydratase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P30086","PEBP1","Phosphatidylethanolamine-binding protein 1 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P30530-2","AXL","Isoform Short of Tyrosine-protein kinase receptor UFO ","GO:0005886 Plasma Membrane","Non-Exosome"
"P30533","LRPAP1","Alpha-2-macroglobulin receptor-associated protein ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"P30536","TSPO","Translocator protein ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P31930","UQCRC1","Cytochrome b-c1 complex subunit 1; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P31937","HIBADH","3-hydroxyisobutyrate dehydrogenase; mitochondrial ","","Non-Exosome"
"P31949","S100A11","Protein S100-A11 ","","Non-Exosome"
"P33552","CKS2","Cyclin-dependent kinases regulatory subunit 2 ","","Non-Exosome"
"P35268","RPL22","60S ribosomal protein L22 ","GO:0005829 Cytosol","Non-Exosome"
"P35367","HRH1","Histamine H1 receptor ","GO:0005886 Plasma Membrane","Non-Exosome"
"P36542-2","ATP5C1","Isoform Heart of ATP synthase subunit gamma; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P37802-2","TAGLN2","Isoform 2 of Transgelin-2 ","GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P40222","TXLNA","Alpha-taxilin ","","Non-Exosome"
"P42766","RPL35","60S ribosomal protein L35 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P42892-2","ECE1","Isoform A of Endothelin-converting enzyme 1 ","GO:0031090 Organelle Membrane; GO:0010008 Endosome Membrane; GO:0005886 Plasma Membrane","Exosome"
"P45954","ACADSB","Short/branched chain specific acyl-CoA dehydrogenase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P45974-2","USP5","Isoform Short of Ubiquitin carboxyl-terminal hydrolase 5 ","","Non-Exosome"
"P46013-2","MKI67","Isoform Short of Antigen KI-67 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P46199","MTIF2","Translation initiation factor IF-2; mitochondrial ","","Non-Exosome"
"P46782","RPS5","40S ribosomal protein S5 ","GO:0005829 Cytosol","Non-Exosome"
"P46783","RPS10","40S ribosomal protein S10 ","GO:0005829 Cytosol","Non-Exosome"
"P47914","RPL29","60S ribosomal protein L29 ","GO:0005829 Cytosol","Non-Exosome"
"P48960-2","CD97","Isoform 2 of CD97 antigen ","GO:0005886 Plasma Membrane",NA
"P49207","RPL34","60S ribosomal protein L34 ","GO:0005829 Cytosol","Non-Exosome"
"P49257","LMAN1","Protein ERGIC-53 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"P49589-2","CARS","Isoform 2 of Cysteine--tRNA ligase; cytoplasmic ","GO:0005829 Cytosol","Non-Exosome"
"P49591","SARS","Serine--tRNA ligase; cytoplasmic ","GO:0005829 Cytosol","Non-Exosome"
"P50748","KNTC1","Kinetochore-associated protein 1 ","","Non-Exosome"
"P50895","BCAM","Basal cell adhesion molecule ","GO:0005886 Plasma Membrane","Non-Exosome"
"P50914","RPL14","60S ribosomal protein L14 ","GO:0005829 Cytosol","Non-Exosome"
"P51858-2","HDGF","Isoform 2 of Hepatoma-derived growth factor ","","Non-Exosome"
"P51991-2","HNRNPA3","Isoform 2 of Heterogeneous nuclear ribonucleoprotein A3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P52732","KIF11","Kinesin-like protein KIF11 ","","Non-Exosome"
"P53004","BLVRA","Biliverdin reductase A ","","Non-Exosome"
"P53701","HCCS","Cytochrome c-type heme lyase ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P53794","SLC5A3","Sodium/myo-inositol cotransporter ","GO:0005886 Plasma Membrane","Non-Exosome"
"P54577","YARS","Tyrosine--tRNA ligase; cytoplasmic ","","Non-Exosome"
"P54886-2","ALDH18A1","Isoform Short of Delta-1-pyrroline-5-carboxylate synthase ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P55010","EIF5","Eukaryotic translation initiation factor 5 ","GO:0005829 Cytosol","Non-Exosome"
"P55265-2","ADAR","Isoform 2 of Double-stranded RNA-specific adenosine deaminase ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P55769","NHP2L1","NHP2-like protein 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P56182","RRP1","Ribosomal RNA processing protein 1 homolog A ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P56381","ATP5E","ATP synthase subunit epsilon; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P56385","ATP5I","ATP synthase subunit e; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P56556","NDUFA6","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P60903","S100A10","Protein S100-A10 ","","Non-Exosome"
"P60981-2","DSTN","Isoform 2 of Destrin ","","Non-Exosome"
"P61009","SPCS3","Signal peptidase complex subunit 3 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Exosome"
"P61011-2","SRP54","Isoform 2 of Signal recognition particle 54 kDa protein ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P61769","B2M","Beta-2-microglobulin ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0010008 Endosome Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P62314","SNRPD1","Small nuclear ribonucleoprotein Sm D1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P62318","SNRPD3","Small nuclear ribonucleoprotein Sm D3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P62330","ARF6","ADP-ribosylation factor 6 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P62854","RPS26","40S ribosomal protein S26 ","GO:0005829 Cytosol","Non-Exosome"
"P62857","RPS28","40S ribosomal protein S28 ","GO:0005829 Cytosol","Non-Exosome"
"P62861","FAU","40S ribosomal protein S30 ","GO:0005829 Cytosol","Non-Exosome"
"P62906","RPL10A","60S ribosomal protein L10a ","GO:0005829 Cytosol","Non-Exosome"
"P62995-3","TRA2B","Isoform 3 of Transformer-2 protein homolog beta ","","Non-Exosome"
"P63218","GNG5","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P63279","UBE2I","SUMO-conjugating enzyme UBC9 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P67870","CSNK2B","Casein kinase II subunit beta ","GO:0005829 Cytosol","Non-Exosome"
"P68036-2","UBE2L3","Isoform 2 of Ubiquitin-conjugating enzyme E2 L3 ","","Non-Exosome"
"P82650","MRPS22","28S ribosomal protein S22; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P82933","MRPS9","28S ribosomal protein S9; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P82979","SARNP","SAP domain-containing ribonucleoprotein ","","Non-Exosome"
"P83731","RPL24","60S ribosomal protein L24 ","GO:0005829 Cytosol","Non-Exosome"
"P84103","SRSF3","Serine/arginine-rich splicing factor 3 ","","Non-Exosome"
"P99999","CYCS","Cytochrome c ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0005829 Cytosol","Non-Exosome"
"Q01130","SRSF2","Serine/arginine-rich splicing factor 2 ","","Non-Exosome"
"Q03252","LMNB2","Lamin-B2 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane","Non-Exosome"
"Q04323-2","UBXN1","Isoform 2 of UBX domain-containing protein 1 ","","Non-Exosome"
"Q04760-2","GLO1","Isoform 2 of Lactoylglutathione lyase ","","Non-Exosome"
"Q06830","PRDX1","Peroxiredoxin-1 ","","Non-Exosome"
"Q12765-2","SCRN1","Isoform 2 of Secernin-1 ","GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane","Non-Exosome"
"Q13131-2","PRKAA1","Isoform 2 of 5'-AMP-activated protein kinase catalytic subunit alpha-1 ","","Non-Exosome"
"Q13151","HNRNPA0","Heterogeneous nuclear ribonucleoprotein A0 ","","Non-Exosome"
"Q13217","DNAJC3","DnaJ homolog subfamily C member 3 ","","Non-Exosome"
"Q13641","TPBG","Trophoblast glycoprotein ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q13753-2","LAMC2","Isoform Short of Laminin subunit gamma-2 ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Non-Exosome"
"Q14116-2","IL18","Isoform 2 of Interleukin-18 ","","Non-Exosome"
"Q14126","DSG2","Desmoglein-2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q14166","TTLL12","Tubulin--tyrosine ligase-like protein 12 ","","Non-Exosome"
"Q14258","TRIM25","E3 ubiquitin/ISG15 ligase TRIM25 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"Q14332","FZD2","Frizzled-2 ","GO:0005886 Plasma Membrane","Exosome"
"Q14566","MCM6","DNA replication licensing factor MCM6 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q14696","MESDC2","LDLR chaperone MESD ","","Non-Exosome"
"Q15050","RRS1","Ribosome biogenesis regulatory protein homolog ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q15056-2","EIF4H","Isoform Short of Eukaryotic translation initiation factor 4H ","GO:0005829 Cytosol","Non-Exosome"
"Q15269","PWP2","Periodic tryptophan protein 2 homolog ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q15388","TOMM20","Mitochondrial import receptor subunit TOM20 homolog ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q15785","TOMM34","Mitochondrial import receptor subunit TOM34 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"Q16629-2","SRSF7","Isoform 2 of Serine/arginine-rich splicing factor 7 ","","Non-Exosome"
"Q16790","CA9","Carbonic anhydrase 9 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005886 Plasma Membrane","Exosome"
"Q16836-2","HADH","Isoform 2 of Hydroxyacyl-coenzyme A dehydrogenase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q4KMQ2-2","ANO6","Isoform 2 of Anoctamin-6 ","","Non-Exosome"
"Q53GA4","PHLDA2","Pleckstrin homology-like domain family A member 2 ","","Non-Exosome"
"Q658P3-2","STEAP3","Isoform 2 of Metalloreductase STEAP3 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q6L8Q7-2","PDE12","Isoform 2 of 2';5'-phosphodiesterase 12 ","","Non-Exosome"
"Q6UVK1","CSPG4","Chondroitin sulfate proteoglycan 4 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q6UXH8-3","CCBE1","Isoform 3 of Collagen and calcium-binding EGF domain-containing protein 1 ","","Exosome"
"Q7Z2Z2-2","EFTUD1","Isoform 2 of Elongation factor Tu GTP-binding domain-containing protein 1 ","","Non-Exosome"
"Q7Z5G4-3","GOLGA7","Isoform 2 of Golgin subfamily A member 7 ","","Exosome"
"Q8IVF2-3","AHNAK2","Isoform 3 of Protein AHNAK2 ","","Non-Exosome"
"Q8IXT5","RBM12B","RNA-binding protein 12B ","","Exosome"
"Q8IZW8","TNS4","Tensin-4 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q8N1G4","LRRC47","Leucine-rich repeat-containing protein 47 ","","Non-Exosome"
"Q8N5N7","MRPL50","39S ribosomal protein L50; mitochondrial ","","Non-Exosome"
"Q8NBF2","NHLRC2","NHL repeat-containing protein 2 ","","Non-Exosome"
"Q8NBX0","SCCPDH","Saccharopine dehydrogenase-like oxidoreductase ","","Non-Exosome"
"Q8TAA9-2","VANGL1","Isoform 2 of Vang-like protein 1 ","","Non-Exosome"
"Q8TB36-2","GDAP1","Isoform 2 of Ganglioside-induced differentiation-associated protein 1 ","","Non-Exosome"
"Q8TB61-2","SLC35B2","Isoform 2 of Adenosine 3'-phospho 5'-phosphosulfate transporter 1 ","","Non-Exosome"
"Q8TCJ2","STT3B","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"Q8TF42","UBASH3B","Ubiquitin-associated and SH3 domain-containing protein B ","","Non-Exosome"
"Q8WUY1","THEM6","Protein THEM6 ","","Non-Exosome"
"Q8WV24","PHLDA1","Pleckstrin homology-like domain family A member 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0031090 Organelle Membrane","Non-Exosome"
"Q8WV92","MITD1","MIT domain-containing protein 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q92538","GBF1","Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane","Non-Exosome"
"Q92544","TM9SF4","Transmembrane 9 superfamily member 4 ","","Non-Exosome"
"Q92616","GCN1L1","Translational activator GCN1 ","","Non-Exosome"
"Q92665","MRPS31","28S ribosomal protein S31; mitochondrial ","","Non-Exosome"
"Q92685-2","ALG3","Isoform 2 of Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1;3-mannosyltransferase ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"Q93008-1","USP9X","Isoform 2 of Probable ubiquitin carboxyl-terminal hydrolase FAF-X ","","Non-Exosome"
"Q969E2-2","SCAMP4","Isoform 2 of Secretory carrier-associated membrane protein 4 ","","Non-Exosome"
"Q969P0-3","IGSF8","Isoform 3 of Immunoglobulin superfamily member 8 ","","Exosome"
"Q969X1","TMBIM1","Protein lifeguard 3 ","","Non-Exosome"
"Q969X5-2","ERGIC1","Isoform 2 of Endoplasmic reticulum-Golgi intermediate compartment protein 1 ","","Non-Exosome"
"Q96AG4","LRRC59","Leucine-rich repeat-containing protein 59 ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"Q96B49","TOMM6","Mitochondrial import receptor subunit TOM6 homolog ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q96G21","IMP4","U3 small nucleolar ribonucleoprotein protein IMP4 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q96IX5","USMG5","Up-regulated during skeletal muscle growth protein 5 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q96KA5-2","CLPTM1L","Isoform 2 of Cleft lip and palate transmembrane protein 1-like protein ","","Non-Exosome"
"Q96QK1","VPS35","Vacuolar protein sorting-associated protein 35 ","GO:0005829 Cytosol","Non-Exosome"
"Q96RQ1","ERGIC2","Endoplasmic reticulum-Golgi intermediate compartment protein 2 ","","Non-Exosome"
"Q96RS6-2","NUDCD1","Isoform 2 of NudC domain-containing protein 1 ","","Non-Exosome"
"Q99436","PSMB7","Proteasome subunit beta type-7 ","GO:0005829 Cytosol","Non-Exosome"
"Q99459","CDC5L","Cell division cycle 5-like protein ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q99643-3","SDHC","Isoform 3 of Succinate dehydrogenase cytochrome b560 subunit; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q99747","NAPG","Gamma-soluble NSF attachment protein ","","Non-Exosome"
"Q99798","ACO2","Aconitate hydratase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
